n_updates,fps,explained_variance,approxkl,ep_reward_mean,policy_entropy,policy_loss,clipfrac,time_elapsed,serial_timesteps,ep_len_mean,total_timesteps,value_loss
1,539,-0.035067200660705566,0.0043545016,443.411881,1.4137719,-0.002785507,0.04526367,2.1457672119140625e-06,2048,974.5,2048,33.525063
2,482,0.014132916927337646,0.0027112146,331.5568105,1.4164445,-0.0014986772,0.024414062,3.799600124359131,4096,640.8333333333334,4096,46.42839
3,418,0.12323260307312012,0.0013320185,326.12484122222224,1.4264318,-0.00087258837,0.008740234,8.043415069580078,6144,602.5555555555555,6144,43.075405
4,435,0.13103967905044556,0.0026071123,341.0879915,1.424124,-0.0021914663,0.018994141,12.943482160568237,8192,666.5,8192,26.524616
5,422,0.1605493426322937,0.0006567697,310.9093534117647,1.4188981,-0.00044712485,0.0017578125,17.651660442352295,10240,589.1176470588235,10240,46.015106
6,477,0.19234508275985718,0.0025580453,251.7553905925926,1.4180942,-0.0026012624,0.022851562,22.49765181541443,12288,449.44444444444446,12288,59.729683
7,448,0.18384641408920288,0.0016584045,252.17884725,1.428644,-0.0012698864,0.015722657,26.78798508644104,14336,445.78125,14336,45.146667
8,416,0.21632695198059082,0.0022732588,234.041279125,1.4441038,-0.0026564777,0.021044921,31.35539674758911,16384,405.2,16384,49.875065
9,406,0.22708213329315186,0.004842728,231.46697163043476,1.4507877,-0.0037098047,0.05859375,36.27192974090576,18432,398.04347826086956,18432,44.81028
10,453,0.27915018796920776,0.0024699273,221.12303952727274,1.4638989,-0.0029774674,0.024121094,41.30838084220886,20480,370.6727272727273,20480,59.10505
11,454,0.2974974513053894,0.0018684336,211.833742796875,1.4754303,-0.0016292073,0.016357422,45.828953981399536,22528,349.25,22528,53.060253
12,456,0.328522264957428,0.002486271,204.44021286486486,1.4811323,-0.00123242,0.021679688,50.33130192756653,24576,331.36486486486484,24576,55.74247
13,458,0.3546984791755676,0.0033947483,195.85047514117645,1.4906586,-0.002377245,0.039892577,54.81552267074585,26624,311.67058823529413,26624,58.660267
14,456,0.28698039054870605,0.0023812717,195.17575212643678,1.4954468,-0.0014496904,0.020166015,59.27889823913574,28672,309.32183908045977,28672,21.491642
15,456,0.32753515243530273,0.0032556213,202.4376467912088,1.4858572,-0.0035597165,0.03354492,63.766884565353394,30720,333.8791208791209,30720,32.578644
16,460,0.35864830017089844,0.0039900886,203.96296358333333,1.4848976,-0.0031160212,0.04633789,68.25070190429688,32768,340.40625,32768,28.210049
17,453,0.42069166898727417,0.004904786,205.3934113131313,1.501029,-0.002250643,0.056933593,72.69473385810852,34816,343.989898989899,34816,25.715687
18,428,0.43274539709091187,0.002824142,205.33516887999997,1.5126625,-0.0025759025,0.026708985,77.2085611820221,36864,345.59,36864,14.030681
19,447,0.4778482913970947,0.0049674152,205.41669284000008,1.5114698,-0.0052682133,0.06274414,81.9907169342041,38912,353.62,38912,18.413252
20,438,0.47648775577545166,0.0049365098,205.07890335,1.5062983,-0.004275834,0.06010742,86.56922602653503,40960,355.23,40960,25.494379
21,450,0.4911121129989624,0.004216911,207.75490682000003,1.5064569,-0.0026650906,0.05214844,91.24345231056213,43008,366.43,43008,9.658806
22,485,0.5921127200126648,0.0031887733,206.45281555000003,1.5051876,-0.0016954977,0.032324217,95.78714346885681,45056,368.81,45056,11.139078
23,488,0.5941563546657562,0.004840564,211.22435743999998,1.506324,-0.0040789456,0.059912108,100.00749659538269,47104,387.02,47104,10.085951
24,465,0.6252496242523193,0.0035903014,215.78531133,1.5072042,-0.0029361537,0.03828125,104.19948673248291,49152,402.64,49152,11.0763645
25,474,0.6510519683361053,0.0027783657,215.22449941,1.5027058,-0.0027680267,0.026220703,108.5959324836731,51200,405.25,51200,10.445925
26,495,0.6919124126434326,0.0024195,218.41722656,1.5014415,-0.0037490004,0.025488282,112.92667031288147,53248,419.41,53248,5.8414435
27,477,0.41995441913604736,0.0035676076,222.25562389000004,1.4899261,-0.003151135,0.03491211,117.06075835227966,55296,436.45,55296,6.192058
28,480,0.5330628454685211,0.0025274295,227.05109156999998,1.4798286,-0.0019505864,0.022851562,121.34924912452698,57344,455.26,57344,5.330619
