clipfrac,value_loss,fps,time_elapsed,approxkl,policy_loss,serial_timesteps,policy_entropy,total_timesteps,n_updates,explained_variance,ep_reward_mean,ep_len_mean
0.032714844,0.6372744,346,1.9073486328125e-06,0.003349245,-0.0053279884,2048,5.6706023,2048,1,0.9921575468033552,,
0.022802735,16.51099,379,5.906336307525635,0.0021585398,-0.0039165565,4096,5.661564,4096,2,0.9286061450839043,616.576536,829.0
0.014697266,15.624759,391,11.300849676132202,0.001686063,-0.0015711498,6144,5.6543665,6144,3,0.9489380568265915,427.995217125,614.0
0.031982422,21.267256,353,16.528400659561157,0.003027078,-0.0037611239,8192,5.6482067,8192,4,0.7463769614696503,584.3657057777777,773.4444444444445
0.029345702,30.766602,445,22.32990789413452,0.0029296721,-0.0031401827,10240,5.638991,10240,5,0.900087796151638,577.4121883076924,749.6923076923077
0.06723633,27.563349,422,26.931666135787964,0.0062494697,-0.0067629972,12288,5.6398773,12288,6,0.850567564368248,629.940546,811.1333333333333
0.023632813,6.160548,434,31.78104877471924,0.0027570233,-0.003402685,14336,5.636914,14336,7,0.9712724070996046,590.594286235294,776.9411764705883
0.026367188,19.008144,361,36.49117970466614,0.002333891,-0.003359404,16384,5.631508,16384,8,0.8273808658123016,658.4807635,847.6111111111111
0.011865234,29.62551,370,42.15248489379883,0.0012305708,-0.002181609,18432,5.643802,18432,9,0.8877246230840683,679.9654980476191,873.952380952381
0.034814455,22.340122,356,47.68521785736084,0.0033951793,-0.0042814356,20480,5.635724,20480,10,0.7455205023288727,732.1469667272727,927.3636363636364
0.011865234,14.831465,376,53.43109941482544,0.0013855019,-0.0029213412,22528,5.6246963,22528,11,0.9094059839844704,760.7246996956521,959.1739130434783
0.02446289,10.412596,366,58.86458396911621,0.0023620217,-0.002852441,24576,5.6339664,24576,12,0.9611612968146801,704.6531716923075,901.5769230769231
0.008251953,20.597057,365,64.46070051193237,0.0012692437,-0.0017013408,26624,5.6449523,26624,13,0.8548078536987305,749.134834111111,944.074074074074
0.080273435,20.178707,345,70.06317901611328,0.006421915,-0.005812211,28672,5.642002,28672,14,0.7991693317890167,785.9382154642856,983.5357142857143
0.03286133,26.05215,366,75.99164319038391,0.0031317226,-0.0063452376,30720,5.646695,30720,15,0.9014575853943825,788.9580226451612,987.0967741935484
0.04042969,20.788399,361,81.57631373405457,0.003364145,-0.004384626,32768,5.6456995,32768,16,0.8170093148946762,820.29377428125,1020.28125
0.019482423,8.553572,351,87.24019360542297,0.0018942313,-0.004262225,34816,5.6392384,34816,17,0.9642387963831425,779.550087,975.2352941176471
0.026416015,27.405209,381,93.06284499168396,0.0023479243,-0.004139427,36864,5.644721,36864,18,0.8681098967790604,796.9276636388888,992.5277777777778
0.023876954,31.701351,398,98.43840837478638,0.002587627,-0.0034053705,38912,5.6445823,38912,19,0.8457081913948059,808.050957105263,1002.7894736842105
0.026611328,40.50958,413,103.57696890830994,0.002676293,-0.0032299422,40960,5.647205,40960,20,0.81514573097229,803.4249064878048,998.829268292683
0.012988281,10.541676,413,108.53481817245483,0.0013619403,-0.004095591,43008,5.646007,43008,21,0.9475238658487797,789.8107906904761,986.5952380952381
0.011669922,28.986334,429,113.4897153377533,0.0012905602,-0.0020846731,45056,5.6489444,45056,22,0.8980464264750481,789.3875577999999,983.8666666666667
0.04814453,20.611935,403,118.25699138641357,0.0055348915,-0.004299597,47104,5.6557155,47104,23,0.803398385643959,812.5951169130433,1007.0217391304348
0.01845703,20.214487,390,123.3340835571289,0.0019576014,-0.00021684254,49152,5.6627812,49152,24,0.781201645731926,834.6458709574466,1029.1914893617022
0.03227539,20.129251,420,128.57892322540283,0.0030628028,-0.0037984725,51200,5.651078,51200,25,0.8413171172142029,855.9537214583333,1050.4375
0.013623047,20.120464,403,133.4638752937317,0.0016085932,-0.00047998325,53248,5.6371965,53248,26,0.8199190199375153,875.2608570000001,1070.8163265306123
0.037597656,27.318005,419,138.53479886054993,0.0035290853,-0.0048400713,55296,5.637732,55296,27,0.8663125336170197,880.1799469607844,1074.6078431372548
0.012109375,20.890047,428,143.42326092720032,0.0017045594,-0.0015309235,57344,5.6348248,57344,28,0.7808445394039154,899.23871975,1093.3461538461538
0.03305664,20.251064,380,148.19829058647156,0.0029810043,-0.0014699006,59392,5.636507,59392,29,0.7926815897226334,917.3514326226416,1111.377358490566
0.015527343,20.814974,380,153.57954788208008,0.0015981456,-0.0026182826,61440,5.64486,61440,30,0.8142828196287155,935.2161858333334,1128.7407407407406
0.03251953,20.437857,403,158.9663336277008,0.0033831217,-0.004148127,63488,5.64356,63488,31,0.8432553708553314,951.7152437272728,1145.4727272727273
0.018408203,19.903774,401,164.04371047019958,0.0019002992,-0.0012231177,65536,5.64195,65536,32,0.8589581102132797,967.0017385,1161.607142857143
0.1305664,19.518164,418,169.1461741924286,0.010462752,-0.004657275,67584,5.6439557,67584,33,0.8172951191663742,980.691944614035,1177.1754385964912
0.01850586,20.228073,406,174.03674483299255,0.002032142,-0.000866645,69632,5.642955,69632,34,0.7905436605215073,995.7812727413792,1192.2068965517242
0.010009766,23.917767,330,179.07267308235168,0.0012730798,-0.0016118272,71680,5.6403155,71680,35,0.8861876055598259,995.66807485,1190.5666666666666
0.02265625,20.045145,365,185.27057552337646,0.0023333374,-0.0010101098,73728,5.639968,73728,36,0.8135990649461746,1009.9249351147541,1204.639344262295
0.059472658,20.32866,367,190.87333917617798,0.0046947,-0.004785992,75776,5.6519914,75776,37,0.8342624008655548,1023.1050719677419,1218.258064516129
