policy_entropy,approxkl,ep_len_mean,ep_reward_mean,total_timesteps,n_updates,explained_variance,clipfrac,value_loss,policy_loss,serial_timesteps,time_elapsed,fps
2.4075537,0.0031382763,1611.0,1188.295829,2048,1,0.949264831840992,0.031933594,10.062295,-0.0035471234,2048,2.6226043701171875e-06,370
2.4245186,0.0038424667,1273.3333333333333,1097.0543853333334,4096,2,0.7995047271251678,0.046728514,20.15844,-0.0038837045,4096,5.524939060211182,361
2.4388711,0.0022191536,1467.25,1172.27650525,6144,3,0.9039695560932159,0.019873047,13.007151,-0.0033915262,6144,11.195024490356445,413
2.4246643,0.012869744,1583.6,1342.2790013999997,8192,4,0.11301630735397339,0.17207031,18.497551,-0.0062935613,8192,16.149157762527466,364
2.4175322,0.001689093,1279.25,1070.702036625,10240,5,0.8982195481657982,0.016357422,23.082214,-0.0024416833,10240,21.768004179000854,383
2.4286244,0.0036210783,1356.3333333333333,1161.0000715555555,12288,6,0.9034785404801369,0.037744142,8.561899,-0.0065579573,12288,27.105671167373657,365
2.4385455,0.0008888089,1425.6,1214.5468687,14336,7,0.9333913922309875,0.0073242188,11.350445,-0.0026542828,14336,32.71388864517212,403
2.4454296,0.0037529126,1394.6363636363637,1187.504322909091,16384,8,0.9695419725030661,0.044433594,4.9819703,-0.0061967284,16384,37.786680698394775,381
2.4561207,0.0037066718,1449.1666666666667,1257.5240299166667,18432,9,0.597404956817627,0.041992188,21.705658,-0.0024929284,18432,43.151779651641846,400
2.4640703,0.002809687,1244.4,1086.2234733333332,20480,10,0.9139477536082268,0.031689454,10.624913,-0.0064470693,20480,48.267218589782715,327
2.474938,0.004120129,1245.4444444444443,1109.1336091666667,22528,11,0.8017993420362473,0.049121093,28.33259,-0.0045923525,22528,54.51902151107788,362
2.484655,0.003132545,1149.7619047619048,1027.631311047619,24576,12,0.8838081210851669,0.037841797,24.248495,-0.008057108,24576,60.17277216911316,229
2.4929204,0.0031061934,1162.3181818181818,1042.1046719545454,26624,13,0.9351802542805672,0.03261719,7.8614883,-0.0056914524,26624,69.08959102630615,397
2.503066,0.0047449837,1183.5,1067.03779775,28672,14,0.6992607712745667,0.061816406,40.65326,-0.011147025,28672,74.24422097206116,154
2.4988797,0.0043469374,1218.12,1105.3245781199998,30720,15,0.013608932495117188,0.050048828,19.768805,-0.0011179114,30720,87.50346636772156,336
2.495215,0.008089857,1250.076923076923,1140.8928901153845,32768,16,0.5087966024875641,0.111376956,21.199865,-0.0053202044,32768,93.58589386940002,283
2.4926524,0.008427652,1279.6666666666667,1172.174017185185,34816,17,0.5150461792945862,0.1283203,21.761562,-0.011366687,34816,100.79917573928833,127
2.4957714,0.0035091545,1265.2142857142858,1158.9857781785713,36864,18,0.9050682559609413,0.038183592,7.572034,-0.0027925465,36864,116.83960771560669,365
2.4957504,0.006155474,1292.2413793103449,1188.8138545172412,38912,19,-0.01654183864593506,0.075976565,20.05698,-0.0018092323,38912,122.44271755218506,357
2.4844146,0.006621787,1317.4666666666667,1216.9754934666666,40960,20,0.04404318332672119,0.08735351,19.40033,-9.7659766e-05,40960,128.1782169342041,364
2.479607,0.0018432457,1341.0645161290322,1242.8737457741936,43008,21,0.8198815584182739,0.015966797,28.464071,-0.0018639056,43008,133.8034908771515,404
2.4733202,0.0036215992,1363.1875,1252.93028375,45056,22,0.8501150906085968,0.037597656,23.118065,-0.0032280113,45056,138.86854577064514,410
2.4705675,0.006690326,1383.969696969697,1275.8019347272727,47104,23,0.3137180805206299,0.09853516,31.283016,-0.010200221,47104,143.8583061695099,158
