n_updates,explained_variance,fps,serial_timesteps,time_elapsed,approxkl,policy_loss,clipfrac,total_timesteps,policy_entropy,value_loss,ep_len_mean,ep_reward_mean
1,0.9838243331760168,548,2048,2.384185791015625e-06,0.004193674,-0.0037731174,0.047265626,2048,7.298641,3.1954134,,
2,0.9764086175709963,558,4096,3.734928607940674,0.0019966098,-0.0023511318,0.01875,4096,7.286888,4.918687,2049.0,1325.111504
3,0.9768339525908232,561,6144,7.401243686676025,0.0029143118,-0.0029035264,0.031298827,6144,7.269441,5.6322036,2049.0,1348.883603
4,0.9707000646740198,558,8192,11.050925731658936,0.0019831941,-0.0024405303,0.01826172,8192,7.2585526,7.232888,2049.0,1375.4037566666666
5,0.8057415038347244,599,10240,14.718969345092773,0.0020010443,-0.0015109456,0.024365235,10240,7.262723,15.909528,1869.8,1233.8024425999997
6,0.9299414306879044,600,12288,18.132874250411987,0.0012751019,-0.0014989825,0.012744141,12288,7.2721186,6.6500235,1847.3333333333333,1177.6453571666664
7,0.9255154952406883,563,14336,21.544575214385986,0.002681065,-0.00065789616,0.032910157,14336,7.2734423,19.834227,1876.142857142857,1202.560378285714
8,0.9537661224603653,614,16384,25.181963205337524,0.0014068934,-0.0030199855,0.013232422,16384,7.279504,6.78325,1888.375,1190.550961625
9,0.9172671660780907,575,18432,28.51330542564392,0.0033755885,-0.0028280446,0.042285156,18432,7.286538,25.812973,1839.9,1149.4188997
10,0.9342830553650856,595,20480,32.07014989852905,0.001498128,-0.00087632134,0.0146484375,20480,7.295305,6.128076,1779.7272727272727,1096.8453820909092
11,0.9451872780919075,552,22528,35.51216268539429,0.0033593092,-0.0030297763,0.038378906,22528,7.2828903,16.295681,1802.1666666666667,1122.7593814166667
12,0.9163060411810875,571,24576,39.219523429870605,0.0047141104,-0.0017729724,0.0640625,24576,7.267958,19.009073,1821.1538461538462,1139.1814122307692
13,0.8694238662719727,600,26624,42.80074977874756,0.001277472,0.0008263279,0.013476563,26624,7.2808113,13.686671,1725.4666666666667,1062.6365684666666
14,0.9573589265346527,599,28672,46.21378993988037,0.0023807664,-0.003290228,0.024902344,28672,7.2956176,5.12214,1665.3125,1013.2199824375
15,0.7587959170341492,602,30720,49.6284613609314,0.0017411069,-0.0039650733,0.016845703,30720,7.2978525,16.674198,1649.111111111111,986.7645530000001
16,0.9279045164585114,593,32768,53.0260796546936,0.0020623112,-0.0018626933,0.022021484,32768,7.3021216,8.722413,1641.842105263158,979.0067145263159
17,0.9477138295769691,582,34816,56.47745394706726,0.0026860044,-0.0016854834,0.030664062,34816,7.3123856,10.492834,1662.2,988.0188521000002
18,0.9110296666622162,574,36864,59.992799520492554,0.002238675,-0.001668559,0.02319336,36864,7.322141,25.737747,1653.1818181818182,985.3406413636366
19,0.9397629946470261,546,38912,63.556682109832764,0.002309884,-0.0012841818,0.022998046,38912,7.3343306,20.035763,1670.391304347826,1008.4419746956523
20,0.8293159008026123,593,40960,67.30229258537292,0.001953159,-0.0012989308,0.018359374,40960,7.3365426,12.829674,1636.48,973.1356276
21,0.8436807543039322,606,43008,70.75349545478821,0.0008526881,-0.0017087546,0.007470703,43008,7.335589,12.636242,1652.3461538461538,979.2604261153846
22,0.9392335452139378,615,45056,74.12817525863647,0.0016061369,-0.002609852,0.01640625,45056,7.330247,7.341957,1654.8148148148148,977.7944438148147
23,0.9415958449244499,557,47104,77.4546127319336,0.0037792244,-0.0031168833,0.03959961,47104,7.33159,19.981941,1668.892857142857,992.9104681785714
24,0.9114235118031502,602,49152,81.1261215209961,0.002004176,-0.0034732583,0.022070313,49152,7.318927,7.714171,1650.2758620689656,975.8293107586206
25,0.8891008421778679,603,51200,84.52669501304626,0.001087753,-0.0026489894,0.010498047,51200,7.310936,12.993886,1634.1612903225807,959.0051559354838
26,0.906140461564064,601,53248,87.93377256393433,0.0011572561,-0.0010698882,0.009863282,53248,7.306327,8.930497,1617.375,945.17122884375
