explained_variance,clipfrac,fps,value_loss,n_updates,time_elapsed,ep_len_mean,policy_loss,ep_reward_mean,serial_timesteps,approxkl,total_timesteps,policy_entropy
0.04403281211853027,0.022021484,600,4.0749793,1,1.6689300537109375e-06,651.0,-0.0022324747,118.41776400000002,2048,0.0027727622,2048,1.4249398
0.04727047681808472,0.011523438,626,4.210622,2,3.4106287956237793,529.7142857142857,-0.0014955207,97.2642587142857,4096,0.0016672645,4096,1.4277738
0.049162089824676514,0.056884766,628,3.79482,3,6.681639909744263,463.61538461538464,-0.0062480597,86.42786761538463,6144,0.0048379833,6144,1.4141831
0.08373498916625977,0.014697266,607,5.471843,4,9.94143295288086,506.26666666666665,-0.0019375613,98.23127253333334,8192,0.0018359509,8192,1.4073288
0.2535257339477539,0.055566408,608,3.411429,5,13.315303564071655,461.6818181818182,-0.005261088,89.49148631818183,10240,0.004467281,10240,1.4136608
0.1401110291481018,0.048828125,633,4.0284266,6,16.679694175720215,434.75,-0.0039042737,85.08376617857142,12288,0.0041649938,12288,1.4194648
0.08210694789886475,0.047460936,634,5.593038,7,19.911792278289795,450.1290322580645,-0.0022885394,90.0000258064516,14336,0.0041965866,14336,1.4230483
-0.11810803413391113,0.04399414,628,7.1103354,8,23.14193844795227,470.6060606060606,-0.0035016704,96.78101154545456,16384,0.0038903537,16384,1.4349608
0.01818108558654785,0.018164063,610,11.567492,9,26.39955973625183,508.3235294117647,-0.0023928254,109.43537376470589,18432,0.0019819913,18432,1.4537416
-0.009952545166015625,0.02626953,591,8.975674,10,29.75294518470764,544.4594594594595,-0.0023097754,124.12566637837837,20480,0.003057962,20480,1.4664911
0.13398534059524536,0.022949219,600,8.157227,11,33.21604800224304,559.6,-0.003144351,131.30714745,22528,0.002496442,22528,1.4664308
0.013777196407318115,0.011669922,615,9.785089,12,36.626220703125,549.609756097561,-0.002556437,128.83629763414635,24576,0.0017393741,24576,1.4564531
0.44411206245422363,0.05053711,623,5.3010583,13,39.955554723739624,590.2045454545455,-0.0036939431,143.69089513636362,26624,0.004519261,26624,1.4442644
0.5813144743442535,0.042285156,637,3.5692697,14,43.24269723892212,565.74,-0.004728177,138.12552014,28672,0.0036698715,28672,1.4466729
0.1655898094177246,0.051855467,639,5.818939,15,46.45730495452881,594.8235294117648,-0.0022183093,147.0001171372549,30720,0.0043746247,30720,1.4521921
-0.07844245433807373,0.014550781,651,5.2520313,16,49.662978172302246,622.7884615384615,-0.0010408479,155.6544659807692,32768,0.0019797909,32768,1.4562116
0.20939648151397705,0.017382812,675,4.3073416,17,52.806819438934326,649.6981132075472,-0.0018350877,163.32382158490563,34816,0.0023366588,34816,1.44962
0.014962255954742432,0.032470703,663,3.821672,18,55.8413519859314,675.6111111111111,-0.001891847,170.7333378333333,36864,0.0030706327,36864,1.4354843
0.2426443099975586,0.055419922,665,3.4835193,19,58.926955461502075,700.5818181818182,-0.0020280825,177.75207834545452,38912,0.0046452116,38912,1.4337082
-0.05482149124145508,0.035791017,647,3.3425865,20,62.00501370429993,724.6607142857143,-0.0013710556,184.601826375,40960,0.003551276,40960,1.4338052
-0.026120543479919434,0.024560547,664,3.5672565,21,65.16735482215881,747.8947368421053,-0.0011015402,191.2622842631579,43008,0.002928088,43008,1.42097
0.010665297508239746,0.015380859,660,3.9627738,22,68.25203561782837,770.3275862068965,-0.00038695033,198.2742529827586,45056,0.002141075,45056,1.4138238
0.07187455892562866,0.031640626,647,4.286935,23,71.35308814048767,792.0,-0.0014976112,205.3881381016949,47104,0.0032342467,47104,1.4031036
0.14927393198013306,0.06733398,627,3.7819867,24,74.51590394973755,812.95,-0.003760439,211.97620668333332,49152,0.0052945083,49152,1.3922217
0.07283073663711548,0.055078126,577,3.3741333,25,77.77911853790283,833.2131147540983,-0.0025831126,218.2345084262295,51200,0.0044070343,51200,1.409787
0.10750937461853027,0.044970702,541,3.7267327,26,81.34587073326111,852.8225806451613,-0.0027684008,224.78254933870969,53248,0.004049056,53248,1.4229066
0.10625284910202026,0.02602539,548,4.3173246,27,85.13043308258057,871.8095238095239,-0.0011123958,231.42064953968256,55296,0.0025893692,55296,1.4273138
0.11879539489746094,0.04584961,567,4.7008743,28,88.8642578125,890.203125,-0.0028587014,238.30215471875,57344,0.003881482,57344,1.4304416
0.0633770227432251,0.023828125,564,4.5255346,29,92.47618436813354,908.0307692307692,-0.00079902785,245.01225455384613,59392,0.0024982244,59392,1.4337679
0.10619539022445679,0.062158205,599,3.626161,30,96.1076192855835,925.3181818181819,-0.0057721892,251.0053431818182,61440,0.005150765,61440,1.4343636
0.09539014101028442,0.046533205,586,3.2511978,31,99.52267646789551,942.0895522388059,-0.00232386,256.8348039552239,63488,0.0041143033,63488,1.4398898
0.14352327585220337,0.026123047,593,2.8981483,32,103.0183117389679,958.3676470588235,-0.0007405864,262.05465897058826,65536,0.0028494697,65536,1.4497893
0.14497298002243042,0.0418457,554,3.431425,33,106.46785235404968,974.1739130434783,-0.0031176056,267.7619791594203,67584,0.0037263255,67584,1.4510586
0.1581692099571228,0.017626952,586,2.5899415,34,110.16102194786072,989.5285714285715,-0.0031820629,272.87316578571426,69632,0.0019037299,69632,1.4507834
0.13349103927612305,0.021679688,600,2.6915817,35,113.65245485305786,1004.4507042253521,-0.00115646,277.968518971831,71680,0.0023096553,71680,1.4618081
0.1614665389060974,0.06298828,564,3.1009207,36,117.06662034988403,1018.9583333333334,-0.0046320036,283.2010782083333,73728,0.0051001078,73728,1.4672372
