fps,approxkl,serial_timesteps,policy_loss,value_loss,clipfrac,total_timesteps,n_updates,time_elapsed,policy_entropy,explained_variance,ep_reward_mean,ep_len_mean
398,0.004270771,2048,-0.0038792626,0.0006612841,0.049804688,2048,1,1.9073486328125e-06,7.531945,0.9513247385621071,,
407,0.00330142,4096,-0.0031216578,2.3187604,0.042285156,4096,2,5.145415306091309,7.526582,0.033848702907562256,2028.757455,2049.0
397,0.0054814476,6144,-0.0041665877,4.3685474,0.06826172,6144,3,10.174459457397461,7.511382,0.010642647743225098,2030.6915334999999,2049.0
395,0.0063884505,8192,-0.0070343143,6.1917453,0.07583008,8192,4,15.322694063186646,7.4786935,0.015295803546905518,2029.8822549999998,2049.0
399,0.006663469,10240,-0.006631752,7.803421,0.08227539,10240,5,20.50417137145996,7.4460883,0.014346659183502197,2031.384744,2049.0
399,0.004926657,12288,-0.004384231,9.26849,0.06362305,12288,6,25.63631844520569,7.412793,0.009741246700286865,2032.9685957999998,2049.0
403,0.0032977846,14336,-0.002684318,10.654838,0.03359375,14336,7,30.7589750289917,7.3810263,0.0005344152450561523,2034.5539884999998,2049.0
415,0.002312989,16384,-0.0010789231,11.835822,0.02470703,16384,8,35.83118987083435,7.361487,-0.000668644905090332,2036.1128417142857,2049.0
409,0.0056605553,18432,-0.0036224262,12.842816,0.081445314,18432,9,40.762495279312134,7.3492637,-0.00063323974609375,2037.22944,2049.0
403,0.0016277675,20480,-0.0016879241,13.739123,0.011621093,20480,10,45.7683219909668,7.3314996,-0.0004671812057495117,2037.9544238888889,2049.0
405,0.0024127695,22528,-0.001712827,14.497652,0.028027344,22528,11,50.848520040512085,7.3188715,0.00021058320999145508,2038.6325215999998,2049.0
386,0.0017627617,24576,-0.0013218023,15.209445,0.01821289,24576,12,55.89958882331848,7.314763,-0.0018970966339111328,2039.2380540909087,2049.0
410,0.0032014376,26624,-0.0016610629,15.75316,0.03959961,26624,13,61.20257782936096,7.312688,0.0012569427490234375,2039.4566212499997,2049.0
378,0.0013784454,28672,0.0025334056,30.155132,0.008837891,28672,14,66.19652700424194,7.313524,0.6738894581794739,1771.972571333333,1780.1333333333334
418,0.0036818131,30720,-0.0014362277,20.32237,0.04399414,30720,15,71.60149669647217,7.3251915,-0.00043833255767822266,1789.00331125,1796.9375
409,0.0008178873,32768,-9.598164e-05,20.284819,0.0045410157,32768,16,76.4979476928711,7.3289194,-0.0006544589996337891,1803.9807907058823,1811.764705882353
410,0.0029007196,34816,-0.0007533809,20.235823,0.037988283,34816,17,81.49799990653992,7.3384933,-0.001362919807434082,1817.3224179444444,1824.9444444444443
406,0.0012853928,36864,-0.000485902,20.130604,0.013867187,36864,18,86.48571491241455,7.3550506,0.0007027983665466309,1829.1795620526314,1836.7368421052631
422,0.0019635032,38912,0.0001217193,20.080227,0.017919922,38912,19,91.52703928947449,7.3690705,-0.0005424022674560547,1839.6649326499999,1847.35
