approxkl,policy_loss,time_elapsed,fps,total_timesteps,policy_entropy,clipfrac,explained_variance,n_updates,serial_timesteps,value_loss,ep_len_mean,ep_reward_mean
0.00487663,-0.005035584,2.1457672119140625e-06,472,2048,3.0362153,0.047314454,0.9714961983263493,1,2048,0.9639064,,
0.005192721,-0.005616718,4.335223436355591,508,4096,3.0171576,0.06196289,0.9535584524273872,2,4096,1.7093862,2049.0,1382.511911
0.004390103,-0.005685621,8.363880395889282,496,6144,3.0041666,0.049609374,0.9212040230631828,3,6144,4.8780274,1438.0,975.424783
0.003074096,-0.0036322374,12.487123727798462,501,8192,2.992754,0.030126953,0.7347036004066467,4,8192,11.407807,1590.75,1082.64570925
0.005469527,-0.0016064383,16.572715520858765,532,10240,2.986652,0.060791016,0.6513958871364594,5,10240,11.976774,1682.4,1158.9167496
0.0037810146,-0.002279713,20.41654396057129,514,12288,2.990307,0.03930664,0.7537305355072021,6,12288,9.779002,1743.5,1203.9592446666668
0.0054969345,-0.004523841,24.400845527648926,505,14336,2.990809,0.062597655,0.7598638534545898,7,14336,21.669306,1482.2222222222222,1008.7149935555556
0.0055536693,-0.0031323046,28.45028805732727,476,16384,2.9948049,0.055615235,0.6977809071540833,8,16384,18.051289,1426.6363636363637,964.8704979090909
0.004742033,-0.0060521783,32.753153800964355,569,18432,3.0032744,0.05444336,0.9299877434968948,9,18432,4.145694,1451.25,975.89737
0.0039283116,-0.0061576255,36.351078748703,529,20480,3.0167127,0.046679687,0.776570200920105,10,20480,16.657516,1428.642857142857,956.8700281428572
0.004797328,-0.0035315505,40.21965980529785,589,22528,3.0228646,0.056591798,0.7328629493713379,11,22528,9.950561,1470.0,987.4211616666668
0.0056315614,-0.0016006548,43.694804668426514,538,24576,3.0235705,0.061523438,0.6884973049163818,12,24576,10.174627,1506.1875,1013.306367
0.003712248,-0.0025763798,47.50040912628174,591,26624,3.030825,0.04433594,0.5895812511444092,13,26624,14.169998,1538.1176470588234,1040.2492000588236
0.0039848285,-0.003374476,50.966153144836426,609,28672,3.035804,0.04550781,0.7118998467922211,14,28672,18.469091,1500.2631578947369,1014.0511747894737
0.0034995545,-0.004864534,54.324981689453125,601,30720,3.0455346,0.038330078,0.8075527846813202,15,30720,18.961658,1387.9545454545455,933.9762206818182
0.0042261546,-0.0037817925,57.7284300327301,605,32768,3.0499477,0.051220704,0.8954707309603691,16,32768,5.64001,1344.0869565217392,901.683502478261
0.004517504,-0.0051069926,61.10950684547424,619,34816,3.0465791,0.05605469,0.7293751239776611,17,34816,9.782247,1373.4583333333333,923.2724994166666
