ep_reward_mean,policy_loss,serial_timesteps,fps,ep_len_mean,value_loss,explained_variance,n_updates,total_timesteps,approxkl,clipfrac,time_elapsed,policy_entropy
445.5076900340909,-0.0022567736,67584,565,766.0,15.225561,0.8544579148292542,33,67584,0.0032695145,0.0340332,123.69742703437805,3.9038367
456.2802825617977,-0.002890698,69632,541,780.4157303370787,12.347963,0.8276324719190598,34,69632,0.0029966892,0.03276367,127.31976747512817,3.9081702
450.01835089010984,-0.0035367284,71680,538,772.4505494505495,9.011261,0.9250965341925621,35,71680,0.0028272888,0.030566406,131.10449624061584,3.9125633
460.0116984565217,-0.005389691,73728,536,786.3260869565217,13.270093,0.8059194833040237,36,73728,0.0063004107,0.07607422,134.90847945213318,3.910394
460.36923067708335,-0.007530739,75776,519,786.4166666666666,23.947407,0.8537928760051727,37,75776,0.005167896,0.055078126,138.7238450050354,3.9216733
466.65523797959185,-0.0018702667,77824,533,793.7448979591836,16.601604,0.8462132960557938,38,77824,0.0020990453,0.020361328,142.6667516231537,3.9411302
459.19750269,-0.0032940544,79872,534,783.16,10.179998,0.9269391223788261,39,79872,0.0031547553,0.0359375,146.5030369758606,3.9477494
461.94254473000007,-0.0039108787,81920,530,786.9,16.829113,0.8883609995245934,40,81920,0.0035527186,0.041796874,150.33241367340088,3.9490104
473.82955973,-0.0033596393,83968,543,801.93,18.663881,0.8441593647003174,41,83968,0.0036365427,0.041894533,154.19399118423462,3.9481053
486.0705562400001,-0.0028478894,86016,550,818.73,14.926321,0.8201416283845901,42,86016,0.004112033,0.04575195,157.96192932128906,3.9450424
480.81811179,-0.0037462846,88064,549,811.68,4.687934,0.9483789689838886,43,88064,0.0033489906,0.03339844,161.67968654632568,3.9282098
481.60795427,-0.0021811437,90112,556,811.68,15.075879,0.7897754311561584,44,90112,0.0038886745,0.043261718,165.4102807044983,3.9131217
501.79787352,-0.0030936154,92160,560,840.05,19.0601,0.8138123601675034,45,92160,0.00591711,0.06337891,169.09246230125427,3.9144733
504.1170564300001,-0.0031225279,94208,533,844.51,6.5968704,0.9490605741739273,46,94208,0.0035438142,0.04121094,172.74490094184875,3.9327137
523.08984696,-0.0033270207,96256,525,871.09,24.590487,0.8022063374519348,47,96256,0.0026938797,0.02841797,176.5863606929779,3.9474533
524.8101790500001,-0.0053342837,98304,529,873.84,18.284071,0.831986740231514,48,98304,0.003702791,0.044287108,180.48074173927307,3.9591205
537.74175693,-0.004278687,100352,546,891.78,9.579996,0.8746568709611893,49,100352,0.0031388272,0.03515625,184.35220766067505,3.9668522
540.71520219,-0.0023747836,102400,543,895.4,20.899744,0.855493813753128,50,102400,0.0026496775,0.028759766,188.10157442092896,3.9758198
554.37579162,-0.0026645858,104448,537,913.43,11.314509,0.8682922720909119,51,104448,0.0023713217,0.026660156,191.87471461296082,3.9847405
560.94771102,-0.004805536,106496,530,922.47,11.41883,0.8786220774054527,52,106496,0.005726675,0.06279297,195.68460965156555,3.9869869
558.82333685,-0.0026868244,108544,537,919.1,6.690361,0.9335958808660507,53,108544,0.0037160043,0.04145508,199.54500699043274,3.9879665
570.27227955,-0.0038880478,110592,545,934.28,22.822926,0.8369649350643158,54,110592,0.0028877165,0.03378906,203.3577733039856,3.988068
572.11786678,-0.0026357658,112640,529,938.06,21.627972,0.8460792899131775,55,112640,0.0022448197,0.024072265,207.1107714176178,3.9996676
569.8843663700001,-0.0071140556,114688,533,934.02,6.850423,0.9283769503235817,56,114688,0.0045437226,0.054882813,210.97744059562683,4.0230293
582.34216957,-0.0020276755,116736,515,952.16,12.640961,0.8519721478223801,57,116736,0.0038896892,0.038964845,214.81788516044617,4.039555
601.14959377,-0.0044356445,118784,546,978.94,21.377903,0.7800423800945282,58,118784,0.0027858992,0.03227539,218.78779220581055,4.0413065
614.8998883,-0.0036911387,120832,556,996.71,10.43768,0.87660051882267,59,120832,0.0043800855,0.051220704,222.53683710098267,4.034196
616.2632056400001,-0.0007352787,122880,532,999.53,12.133597,0.7969362884759903,60,122880,0.0054534385,0.06708984,226.21664237976074,4.0329657
618.01559609,-0.005295886,124928,540,1001.51,16.052153,0.8790169730782509,61,124928,0.0032247335,0.0359375,230.0620801448822,4.05439
626.7966285900001,-0.0046960623,126976,536,1013.61,8.93216,0.899362362921238,62,126976,0.0037870992,0.04501953,233.85444593429565,4.0603514
619.8786707,-0.007686778,129024,537,1003.48,24.822077,0.8084965199232101,63,129024,0.0035070735,0.037646484,237.6720540523529,4.0647264
624.6564935000001,-0.003394441,131072,547,1010.69,10.837086,0.8712905496358871,64,131072,0.0021403185,0.023828125,241.47998094558716,4.0685067
629.9881305600001,-0.0049012527,133120,525,1017.77,28.60146,0.7665209174156189,65,133120,0.0023006827,0.026416015,245.22302508354187,4.074429
628.7241062500001,-0.00094462297,135168,551,1016.46,13.971205,0.8636253029108047,66,135168,0.0020979869,0.02084961,249.1230652332306,4.0827127
641.42006659,-0.0028467895,137216,537,1034.62,11.48315,0.8710522055625916,67,137216,0.0031797413,0.04082031,252.84020280838013,4.0853424
652.35874685,-0.00238229,139264,517,1048.45,14.4801,0.8541211038827896,68,139264,0.00200621,0.021386718,256.6486303806305,4.087015
664.1574837000001,-0.0065796403,141312,521,1063.12,13.194018,0.9024260118603706,69,141312,0.004335937,0.05131836,260.6036491394043,4.10206
674.37776933,-0.0028793875,143360,481,1074.75,15.118373,0.87265944480896,70,143360,0.0027970693,0.030664062,264.52799701690674,4.1225543
685.6050497700002,-0.0050026127,145408,514,1090.02,15.308607,0.875166080892086,71,145408,0.002949664,0.03286133,268.7775146961212,4.114453
677.5348014300002,-0.0047642933,147456,533,1077.05,16.094782,0.8993357047438622,72,147456,0.0030668066,0.03461914,272.7551381587982,4.1197968
676.77986004,-0.0052839313,149504,548,1078.02,19.03387,0.8355433791875839,73,149504,0.0037817494,0.04609375,276.5950653553009,4.125657
650.15305819,-0.003131404,151552,539,1041.36,29.245121,0.7327887415885925,74,151552,0.0017016211,0.017285157,280.32854676246643,4.1304317
