n_updates,fps,clipfrac,explained_variance,total_timesteps,value_loss,time_elapsed,policy_loss,approxkl,serial_timesteps,policy_entropy,ep_reward_mean,ep_len_mean
1,514,0.053271484,0.9862118195742369,2048,0.28599805,1.9073486328125e-06,-0.00447033,0.004480193,2048,5.016822,,
2,532,0.026708985,0.7901637554168701,4096,10.292365,3.9816579818725586,-0.0009090441,0.002639539,4096,5.0177417,418.7524123333333,716.6666666666666
3,549,0.03754883,0.9157486632466316,6144,10.815548,7.8300957679748535,-0.0014536192,0.0033599543,6144,5.038295,624.2947235,1049.75
4,540,0.030908203,0.5446188449859619,8192,23.545383,11.556602954864502,-0.0020926243,0.0028303438,8192,5.0477533,717.7768211666667,1049.0
5,536,0.08129883,0.5147262811660767,10240,9.8820915,15.346869707107544,-0.005583657,0.0064058057,10240,5.057452,793.0073414285714,1191.857142857143
6,551,0.022607422,0.9393014460802078,12288,8.361365,19.161283254623413,-0.0035880108,0.0026136166,12288,5.055683,850.9526363750001,1299.0
7,549,0.044873048,0.5785906612873077,14336,30.900278,22.878150701522827,-0.005131579,0.004259967,14336,5.0618386,877.8137508000002,1274.8
8,532,0.049804688,0.5175435841083527,16384,12.415539,26.60587453842163,-0.0030049537,0.004267,16384,5.0761924,912.6176577272728,1345.1818181818182
9,549,0.039160155,0.6913142502307892,18432,15.523526,30.452643632888794,-0.004608274,0.0037330848,18432,5.0791116,879.895280923077,1316.2307692307693
10,534,0.030371094,0.49801063537597656,20480,10.16004,34.18001961708069,-0.003153028,0.002728713,20480,5.0789213,906.9612687857144,1368.5714285714287
11,535,0.036572266,0.5812517404556274,22528,8.310077,38.01444387435913,-0.0016012505,0.0031395815,22528,5.080781,930.9285589333335,1413.9333333333334
12,543,0.0609375,0.8566186130046844,24576,9.241684,41.841564655303955,-0.004728411,0.004941667,24576,5.0779886,952.3291637499999,1453.625
13,542,0.055078126,0.5852169096469879,26624,21.600986,45.60994839668274,-0.0040693367,0.0044808234,26624,5.069093,878.1266803157895,1344.4736842105262
14,542,0.04033203,0.9283192753791809,28672,9.939344,49.38442301750183,-0.0028540047,0.0036313944,28672,5.0712976,897.8823108500001,1379.7
15,557,0.0362793,0.8794782683253288,30720,30.417583,53.15842413902283,-0.00393756,0.003461402,30720,5.083186,869.8979908260872,1311.0434782608695
16,550,0.03173828,0.8222132474184036,32768,13.424398,56.831552505493164,-0.0030751838,0.0029535512,32768,5.094369,889.0506671249999,1341.7916666666667
17,557,0.05673828,0.8782384395599365,34816,23.448812,60.551631927490234,-0.0065760426,0.0047285566,34816,5.0973644,890.8971838076923,1323.7307692307693
18,548,0.051855467,0.843640998005867,36864,20.096699,64.22541570663452,-0.004164898,0.0043279123,36864,5.104563,919.4882422962962,1350.5925925925926
19,560,0.043261718,0.9587530307471752,38912,9.161463,67.95955419540405,-0.008205791,0.004121941,38912,5.11357,879.4968759310344,1296.9310344827586
20,565,0.048583984,0.8525979965925217,40960,33.598427,71.61538505554199,-0.005240341,0.0041070757,40960,5.1197267,865.47357078125,1257.71875
21,571,0.033447266,0.8970465213060379,43008,23.526823,75.23649215698242,-0.0029699919,0.0032355879,43008,5.1252065,876.0698380294117,1257.5588235294117
22,554,0.04086914,0.9644385129213333,45056,4.273904,78.82258820533752,-0.006648925,0.0036469907,45056,5.132379,883.7076388571428,1262.3142857142857
23,539,0.02421875,0.9295651465654373,47104,9.141714,82.51684474945068,-0.0014087469,0.002356076,47104,5.1236076,894.3912363055556,1284.1666666666667
24,555,0.030078124,0.8167892396450043,49152,20.92535,86.31073808670044,-0.003134132,0.0026789412,49152,5.1209674,917.5156180810811,1304.837837837838
25,542,0.046435546,0.8002935945987701,51200,9.16264,90.00067090988159,-0.0032357816,0.0039890255,51200,5.1250296,926.9537025526316,1324.421052631579
26,542,0.037158202,0.6540367305278778,53248,8.251783,93.79119729995728,-0.0017361328,0.0033700715,53248,5.1294746,937.873865128205,1343.0
27,545,0.04902344,0.5496415197849274,55296,11.936797,97.56383419036865,-0.002061726,0.004847086,55296,5.147668,946.5520630499999,1360.65
28,538,0.068310544,0.6627153754234314,57344,14.69727,101.32019686698914,-0.004924924,0.006598819,57344,5.167657,935.2893680238095,1351.2619047619048
