serial_timesteps,ep_len_mean,value_loss,fps,approxkl,clipfrac,ep_reward_mean,n_updates,policy_loss,total_timesteps,policy_entropy,explained_variance,time_elapsed
32768,1388.5217391304348,10.247579,417,0.0050591053,0.058154296,799.0513384782608,16,-0.0032591124,32768,2.737527,0.8684537410736084,69.01901769638062
34816,1383.4,20.14141,436,0.0040549915,0.046679687,798.19253244,17,-0.0044838786,34816,2.7469153,0.8261269629001617,73.92633295059204
36864,1296.7857142857142,16.235287,387,0.0035896008,0.04042969,740.7381783928573,18,-0.0026664478,36864,2.7484372,0.8115919977426529,78.62279939651489
38912,1252.6129032258063,21.610699,391,0.0031487462,0.032910157,709.658509483871,19,-0.0018145578,38912,2.7521236,0.7683602720499039,83.90995049476624
40960,1277.5,12.045771,479,0.0052122436,0.061914064,728.84594809375,20,-0.0034605693,40960,2.7564645,0.8560922145843506,89.14266157150269
43008,1217.0588235294117,8.399147,467,0.006043893,0.064697266,690.6394227058825,21,-0.0044287588,43008,2.7449598,0.936873197555542,93.41398596763611
45056,1243.138888888889,21.374746,485,0.0029463982,0.030419922,711.5044602500001,22,-0.0019943914,45056,2.7339132,0.7782251089811325,97.79190587997437
47104,1233.2894736842106,13.782908,471,0.0032563056,0.030957032,703.609889263158,23,-0.0022694399,47104,2.7363303,0.8394511044025421,102.01461148262024
49152,1254.2051282051282,13.497381,468,0.003934405,0.040722657,719.3587316923079,24,-0.0034550664,49152,2.7221372,0.820102795958519,106.3615243434906
51200,1239.6097560975609,13.641416,460,0.0059588244,0.064208984,711.6066696585365,25,-0.0011164335,51200,2.7078915,0.87788375467062,110.72893786430359
53248,1141.1739130434783,19.823074,454,0.004954737,0.061816406,648.7090106304348,26,-0.0031438046,53248,2.7137303,0.7982031255960464,115.18839931488037
55296,1136.3958333333333,15.250349,481,0.0057039517,0.06533203,645.5158382083333,27,-0.0019405668,55296,2.7263196,0.8760673031210899,119.69715881347656
57344,1111.54,11.690386,482,0.004224854,0.050488282,628.73423276,28,-0.0022982308,57344,2.7411547,0.8681939244270325,123.95260381698608
59392,1090.8333333333333,25.036028,456,0.0033739675,0.036816407,613.4155622407408,29,-0.0037563022,59392,2.762638,0.5971248745918274,128.19753432273865
61440,1102.8181818181818,7.642389,472,0.0033876398,0.04121094,622.3016334,30,-0.0036654111,61440,2.779657,0.9197711423039436,132.68353009223938
