policy_entropy,n_updates,value_loss,serial_timesteps,total_timesteps,ep_len_mean,fps,clipfrac,ep_reward_mean,explained_variance,time_elapsed,approxkl,policy_loss
5.0747213,29,10.364937,59392,59392,1030.3392857142858,131,0.029003907,767.5988351071429,0.9398271255195141,422.7905058860779,0.002747144,-0.0033347285
5.076771,30,8.516134,61440,61440,1028.8103448275863,144,0.027539063,769.4906620517241,0.9553241059184074,438.3968150615692,0.0030053623,-0.0025433386
5.0858564,31,22.50434,63488,63488,1000.952380952381,82,0.014599609,745.6996031904763,0.7742998898029327,452.56043100357056,0.0016635495,-0.003195601
5.09002,32,2.5244,65536,65536,992.015625,184,0.055419922,737.725354015625,0.8844236060976982,477.24411702156067,0.004544153,-0.0031572767
5.0821476,33,2.1852102,67584,67584,1008.2615384615384,152,0.05292969,746.1763792153846,0.9163274243474007,488.3546357154846,0.004493259,-0.004337673
5.05306,34,2.2267709,69632,69632,1024.0151515151515,195,0.047802735,754.4177260909091,0.9705811701714993,501.822288274765,0.004799443,-0.006057765
5.03528,35,17.32875,71680,71680,1007.7428571428571,103,0.043701172,744.4066238857143,0.8123782873153687,512.3176591396332,0.003480566,-0.0092928875
5.042241,36,1.4443119,73728,73728,1009.5915492957746,177,0.036376953,743.8124724929579,0.9813332241028547,532.0851395130157,0.0033861664,-0.0013463337
5.0321302,37,2.7393641,75776,75776,1024.013888888889,188,0.07314453,759.6647189722221,0.9610005430877209,543.6406691074371,0.0059973383,-0.0053434893
5.0386066,38,7.3842497,77824,77824,1027.7837837837837,141,0.021044921,765.8697608783783,0.9593800865113735,554.5170691013336,0.0021164783,-0.0043081637
5.0427127,39,2.646326,79872,79872,1037.6666666666667,178,0.07373047,777.1230130266666,0.9693364556878805,568.9966440200806,0.00591911,-0.00848648
5.011052,40,2.743526,81920,81920,1050.9605263157894,172,0.024951171,791.1787751973683,0.962358683347702,580.4654157161713,0.0025837063,-0.0034552044
4.9740834,41,2.7249796,83968,83968,1063.909090909091,165,0.04453125,805.2633649740259,0.9616361521184444,592.3107059001923,0.0043956274,-0.003248049
4.951816,42,2.6298425,86016,86016,1076.525641025641,166,0.08920898,819.3399289102564,0.9673879742622375,604.6587698459625,0.0070029446,-0.005151412
4.9390903,43,14.159668,88064,88064,1092.925,123,0.038671874,837.3055786375,0.8696001172065735,616.9736115932465,0.0033953092,-0.0041848007
4.9307356,44,2.6704383,90112,90112,1087.2222222222222,195,0.05908203,832.199100617284,0.9604189060628414,633.560928106308,0.0051740305,-0.0038896669
4.920473,45,2.814711,92160,92160,1098.9512195121952,201,0.032177735,844.7784846829268,0.9595216661691666,644.0437846183777,0.0034482465,-0.001718745
4.899577,46,2.4036317,94208,94208,1110.3734939759036,165,0.03237305,857.3365446385542,0.9626152403652668,654.2200136184692,0.0034414437,-0.003647726
4.887269,47,3.8282006,96256,96256,1121.5357142857142,178,0.03984375,869.3608491666666,0.8077571094036102,666.5746948719025,0.0033502742,-0.0045595346
4.883807,48,2.0892549,98304,98304,1132.4470588235295,205,0.03666992,874.1798713411764,0.8702069669961929,678.0631430149078,0.0032964642,-0.0029108238
4.8532457,49,1.3436577,100352,100352,1143.0813953488373,161,0.029833984,878.9361896046511,0.9821292832493782,688.0306475162506,0.0035652039,-0.00521312
4.8339376,50,8.748556,102400,102400,1144.1363636363637,135,0.03852539,882.4183616022729,0.8046243339776993,700.7469198703766,0.0036446382,-0.0023739962
4.842079,51,4.137834,104448,104448,1141.0333333333333,152,0.046044923,876.3754405444446,0.9127273261547089,715.8586068153381,0.0038732928,-0.008133307
4.8503838,52,1.480382,106496,106496,1147.7912087912089,206,0.05214844,878.8232550769231,0.8863045275211334,729.2704730033875,0.0045157727,-0.004781789
4.836934,53,1.4493964,108544,108544,1157.5760869565217,200,0.058984376,883.2002844891306,0.9781782813370228,739.181111574173,0.0052844333,-0.0038966383
4.8027177,54,2.5947456,110592,110592,1167.1505376344087,196,0.046484374,894.0349168494625,0.9637316130101681,749.3904206752777,0.004485802,-0.0073624766
4.7897453,55,2.8658445,112640,112640,1176.5212765957447,172,0.021630859,904.7635389148938,0.9609518125653267,759.8137485980988,0.0023199897,-0.0037578666
4.784619,56,2.5467825,114688,114688,1185.6947368421052,178,0.051171876,914.5260649894738,0.9671013429760933,771.705424785614,0.0046006087,-0.0031544995
4.7518873,57,2.3984256,116736,116736,1194.6770833333333,177,0.031152343,924.5252136458333,0.9652958624064922,783.1890196800232,0.003523964,-0.0063134423
4.7241125,58,10.973035,118784,118784,1196.8979591836735,126,0.02470703,928.4687480306122,0.9315640330314636,794.7151973247528,0.0023046678,-0.0029640035
4.731182,59,3.5896404,120832,120832,1199.8484848484848,178,0.03745117,932.4718316161617,0.8095069378614426,810.854570388794,0.0033372254,-0.0014517804
4.741655,60,1.9734865,122880,122880,1208.33,184,0.033154298,936.09631057,0.8943832591176033,822.3412456512451,0.0031523611,-0.0035180505
4.7541513,61,6.9288034,124928,124928,1223.2,140,0.03461914,946.57772267,0.9390247948467731,833.444239616394,0.003649839,-0.0021633864
4.7413473,62,2.734345,126976,126976,1240.58,164,0.046972655,963.94517775,0.9568686410784721,847.9842507839203,0.004501056,-0.004084144
4.7026286,63,2.4685636,129024,129024,1249.28,185,0.080078125,972.6937089899999,0.9615831933915615,860.4053068161011,0.006800028,-0.008073405
4.667993,64,2.4563878,131072,131072,1249.28,168,0.034423828,973.64400586,0.9668063968420029,871.4430158138275,0.003595744,-0.0044625644
4.6486406,65,4.0670576,133120,133120,1249.28,167,0.07114258,979.6423457,0.713471382856369,883.6011972427368,0.0056750453,-0.0060818363
4.631028,66,1.1369048,135168,135168,1266.69,191,0.024658203,991.02916991,0.981589188799262,895.8528113365173,0.0030460851,-0.006285836
4.6095514,67,4.3726645,137216,137216,1284.12,200,0.030908203,1008.7521484299999,0.8447690308094025,906.5562517642975,0.0029755558,-0.0014369417
4.6140857,68,2.6768706,139264,139264,1290.24,209,0.046289064,1012.4296386599999,0.8228613883256912,916.7865347862244,0.004411674,-0.00240481
4.622704,69,2.7765162,141312,141312,1302.47,202,0.035986327,1020.2284003799999,0.9003119543194771,926.5439305305481,0.0035538182,-0.006104533
4.6244154,70,14.804689,143360,143360,1321.06,90,0.02055664,1033.87445311,0.7826070636510849,936.6642599105835,0.002037318,-0.0031885921
4.6464477,71,8.275388,145408,145408,1314.18,141,0.045166016,1026.0257265600003,0.9438151270151138,959.17857837677,0.003855896,-0.0038967866
4.6704245,72,13.252772,147456,147456,1322.54,89,0.042041015,1037.1547949200003,0.9345588907599449,973.661741733551,0.0035649254,-0.007851598
4.657811,73,2.5280626,149504,149504,1332.38,180,0.032226562,1046.9094628900002,0.9592029675841331,996.4469113349915,0.0031553968,-0.004035511
4.6406736,74,6.644847,151552,151552,1350.15,111,0.037744142,1064.5247539000002,0.9534463547170162,1007.786248922348,0.0035442398,-0.0038182295
