#{"t_start": 1747997493.911783, "env_id": null}
r,l,t
200.676694,425,1.414361
171.746448,368,2.076706
1391.508185,2049,5.903743
1432.529832,2049,9.600526
103.836374,256,10.107038
105.188469,259,10.571665
1411.519655,2049,14.245459
112.176505,275,14.677106
177.77957,385,15.282582
159.821031,358,16.201674
99.210911,252,16.642284
105.434161,256,17.055955
102.999544,257,17.454381
179.87812,374,18.003406
494.350576,758,19.619982
118.671672,276,20.115393
279.818398,509,21.014165
95.62681,248,21.421972
165.658231,362,21.973493
213.763298,396,22.567153
527.779328,842,24.230047
168.064057,370,24.921063
95.532692,244,25.319235
464.714542,729,27.083545
98.309996,247,27.523714
96.099894,247,27.919531
218.816545,403,28.682938
91.64176,240,29.123757
165.2548,363,29.814366
155.549443,351,30.464545
98.558107,249,31.342146
1443.853535,2049,35.877209
98.521175,247,36.320155
116.51393,271,36.83278
91.313273,244,37.249785
111.113117,261,37.674584
91.496613,244,38.099271
972.263446,1498,41.287474
271.36348,500,42.098963
586.207005,1014,44.357349
95.395468,250,44.782307
1372.5101,2049,48.868966
241.193094,473,49.65038
109.693785,268,50.145429
160.02273,353,50.731052
1382.015594,2049,54.728445
1350.275823,2049,58.842163
97.446016,257,59.281238
1356.799396,2049,63.894159
1347.842853,2049,68.360144
1403.790756,2049,72.837312
1408.177871,2049,77.182467
1391.544031,2049,81.543852
1434.400351,2049,86.033489
1399.702921,2049,90.580297
1437.94723,2049,95.111522
159.345377,350,96.068764
1354.941435,2049,100.494932
97.13337,251,101.043317
1414.772036,2049,105.433127
174.17995,371,106.132
101.176221,257,106.616537
156.313413,345,107.245604
1359.274166,2049,111.578437
90.958195,242,112.067582
102.742385,271,112.600805
1454.059111,2049,116.714189
1293.120935,2049,120.943741
196.990133,418,122.089257
1312.843222,2049,126.417948
92.458905,250,126.839284
1453.959349,2049,131.240493
1503.657698,2049,135.533201
98.135447,259,136.07557
1195.364152,1645,139.578272
91.252164,243,140.081179
208.170091,433,141.003543
95.059589,249,141.423786
210.516133,442,142.273165
1404.313868,2049,146.534478
101.337578,253,146.991839
101.819548,263,147.882315
1256.80994,2049,152.199461
777.730163,1162,154.325731
100.680823,249,154.920985
97.331252,245,155.415486
92.782012,255,156.276271
93.921496,257,156.74106
173.488031,375,157.473034
1374.417408,2049,161.789059
428.502133,744,163.208978
1417.483635,2049,167.367154
267.764483,461,168.277776
1387.523278,2049,172.573463
152.859428,360,173.620511
1417.460311,2049,177.704633
1427.08776,2049,181.879006
200.47723,425,182.66384
296.197964,565,183.714287
155.10221,354,184.486034
810.833897,1311,187.155939
179.776554,391,187.954238
150.950952,346,188.656782
172.22057,369,189.287227
170.694024,370,190.437297
102.96535,263,190.892932
101.555659,273,191.342496
1464.405609,2049,195.588225
109.975698,268,196.167932
1568.992519,2049,200.41492
1468.73121,2049,204.686841
1340.059206,2049,209.034904
163.279303,361,209.782198
614.159492,1050,212.055868
618.339224,969,214.087849
1396.768182,2049,218.330872
1462.410719,2049,222.56664
1430.943613,2049,226.789074
113.178618,279,227.332261
1394.436746,2049,231.54241
1383.155292,2049,235.662592
738.231098,1113,238.027629
583.647783,905,239.892179
1466.461492,2049,244.094362
1426.093493,2049,248.200178
960.334229,1472,251.273825
1422.022288,2049,255.741318
1217.157495,1761,259.354692
1376.624268,2049,263.76245
214.982033,396,264.495646
433.56681,736,265.919304
1471.530986,2049,270.077949
1429.998949,2049,274.615921
669.070071,1064,276.992097
1428.527025,2049,281.375577
111.92432,289,281.943432
1383.438501,2049,286.260873
1432.794102,2049,290.451408
1426.027252,2049,294.694134
1297.106218,2049,298.950655
1301.031602,1892,302.713407
95.513615,260,303.299308
141.590732,341,303.953099
103.770379,263,304.397354
482.467307,794,306.297283
1409.926489,2049,310.4868
1472.397788,2049,314.802823
814.81246,1236,317.167017
1455.496055,2049,321.284457
116.978237,281,322.06677
96.72647,255,322.627611
124.493449,292,323.127188
1437.330837,2049,327.31933
