total_timesteps,policy_entropy,policy_loss,approxkl,n_updates,serial_timesteps,ep_reward_mean,ep_len_mean,time_elapsed,explained_variance,clipfrac,fps,value_loss
63488,2.4478006,-0.002119463,0.007741759,31,63488,541.3271562676056,872.7183098591549,125.27848529815674,0.8861726447939873,0.08803711,470,13.3220215
65536,2.4366004,-0.00253881,0.006233382,32,65536,554.0026033888889,889.0555555555555,129.63338017463684,0.8285855054855347,0.07602539,472,10.729848
67584,2.435568,-0.0057868497,0.0054298835,33,67584,560.675413364865,896.2162162162163,133.97220730781555,0.8397055715322495,0.06567383,473,18.484924
69632,2.4404736,-0.0024093722,0.0021469907,34,69632,547.9790217468354,877.620253164557,138.3014097213745,0.7693219482898712,0.021630859,484,22.819561
71680,2.4518805,-0.0054004597,0.0069993497,35,71680,553.0369649876544,884.3703703703703,142.52792406082153,0.8319142609834671,0.08867188,477,14.878868
73728,2.4678435,-0.003505775,0.008465798,36,73728,547.5343135609756,876.7926829268292,146.81994199752808,0.887176163494587,0.099609375,471,6.315566
75776,2.4751713,-0.0035897053,0.0042198244,37,75776,548.0275103488373,879.0930232558139,151.16064071655273,0.8293878585100174,0.04838867,473,24.14616
77824,2.4711883,-0.0039909324,0.004196538,38,77824,533.6017688651685,859.4269662921348,155.48416304588318,0.888925351202488,0.04638672,469,13.746492
79872,2.465406,-0.0054512285,0.005747217,39,79872,541.6865601098901,871.2307692307693,159.84880304336548,0.7589199990034103,0.06777344,478,18.80723
81920,2.460041,-0.0046310537,0.0043988,40,81920,548.1583342795699,879.483870967742,164.12709259986877,0.8584485352039337,0.04453125,496,12.972125
83968,2.4535007,-0.0010590334,0.0048807696,41,83968,557.087748574468,891.9255319148937,168.25140833854675,0.7991689890623093,0.056103516,477,12.152904
86016,2.4556375,-0.002580344,0.003241912,42,86016,552.8327136210527,886.3263157894737,172.54399466514587,0.8580129146575928,0.035058595,506,8.224926
88064,2.4657035,-0.0028318719,0.0036652077,43,88064,561.83925109375,898.4375,176.59067845344543,0.7568544894456863,0.04121094,480,14.534805
90112,2.4731405,-0.00093108753,0.002039494,44,90112,560.1543326899999,896.43,180.85733151435852,0.6376037001609802,0.01796875,491,30.929092
92160,2.477242,-0.0037664198,0.0042086276,45,92160,541.32754083,871.69,185.0245270729065,0.7701090574264526,0.041259766,495,23.809399
94208,2.481764,-0.004593812,0.0049082804,46,94208,528.8742461799999,855.11,189.1554718017578,0.8712190389633179,0.05214844,477,16.771767
96256,2.4861,-0.0012369547,0.005410351,47,96256,541.7184985,871.68,193.44797015190125,0.8463082313537598,0.066992186,489,18.124897
98304,2.4849792,-0.0037653153,0.006045467,48,98304,555.8102133799999,888.59,197.63113617897034,0.732437014579773,0.06782226,482,14.990381
100352,2.4795938,-0.000805825,0.004734222,49,100352,569.50541637,906.56,201.87453079223633,0.7658026367425919,0.0519043,467,14.76051
102400,2.4750795,-0.0019971807,0.0036064826,50,102400,582.4544644099999,925.53,206.25290298461914,0.8224039077758789,0.038476564,481,15.811441
104448,2.4721913,-0.0012569847,0.0030649556,51,104448,588.0371646100001,934.4,210.50448179244995,0.8704404979944229,0.03237305,460,13.348337
106496,2.4622593,-0.0020405783,0.0044502807,52,106496,600.8181297100001,952.13,214.9496443271637,0.7908475250005722,0.04814453,488,11.120512
108544,2.4479191,-0.00022759652,0.004832689,53,108544,612.64405292,967.53,219.1439085006714,0.8506975173950195,0.046533205,476,9.037355
110592,2.4563491,-0.0050349957,0.0049216556,54,110592,625.4724248200001,984.71,223.44367384910583,0.8168321549892426,0.055761717,491,17.520788
112640,2.4632897,-0.0034045181,0.0047422065,55,112640,637.2791593000001,1001.24,227.607164144516,0.772192507982254,0.051464844,484,13.835825
114688,2.4612224,-0.006978652,0.0057956628,56,114688,645.8329189400001,1013.31,231.83454155921936,0.7516192644834518,0.062353514,480,13.875113
116736,2.4640152,-0.0038425326,0.0050596753,57,116736,656.41574026,1027.35,236.10092759132385,0.8719742745161057,0.054541014,477,13.2424755
118784,2.4751124,-0.001765643,0.004167272,58,118784,666.4332097600001,1040.55,240.38693737983704,0.8387576788663864,0.049365234,493,9.938907
120832,2.4757457,-0.0035792217,0.0050283377,59,120832,679.7110447299998,1058.57,244.5412039756775,0.8011149615049362,0.060302734,500,13.124135
122880,2.4792068,-0.006295739,0.0053471704,60,122880,688.3533880799998,1070.82,248.6306734085083,0.8834552988409996,0.0640625,464,8.053184
124928,2.485452,-0.0027916867,0.007272831,61,124928,700.3854455099998,1087.28,253.04146885871887,0.7614194601774216,0.08115234,478,11.629485
126976,2.4923427,-0.0029723716,0.0042749513,62,126976,711.64060286,1102.49,257.31796503067017,0.82550910115242,0.047558594,476,9.740386
129024,2.4930654,-0.0015579632,0.00357407,63,129024,727.69871047,1124.67,261.61741518974304,0.8181699216365814,0.039404295,483,20.081297
131072,2.4881053,-0.0031437173,0.0048866943,64,131072,727.9754849799999,1124.67,265.84972524642944,0.8389008045196533,0.05996094,491,9.491239
133120,2.4856281,-0.003301964,0.005738917,65,133120,741.29026272,1142.69,270.01715207099915,0.800522118806839,0.07314453,446,10.759134
135168,2.489822,-0.002052059,0.003762566,66,135168,746.81582413,1150.62,274.603661775589,0.8547890484333038,0.039501954,475,7.9479003
137216,2.4859567,-0.004123838,0.0059692324,67,137216,760.1960736799999,1168.95,278.9141893386841,0.8005076348781586,0.07026367,466,16.84496
139264,2.4781938,-0.0015008885,0.005613119,68,139264,773.11549256,1187.0,283.3001925945282,0.8091862052679062,0.06616211,489,9.387442
141312,2.4843988,0.0013291932,0.003740396,69,141312,777.7207991200002,1192.51,287.4833300113678,0.7770502418279648,0.039013673,482,12.595533
143360,2.5003543,-0.0023206596,0.00792289,70,143360,789.26743684,1208.0,291.7241795063019,0.7762427181005478,0.09213867,479,12.521322
145408,2.5205512,-0.0062072068,0.0062533207,71,145408,796.37642897,1218.35,295.9986448287964,0.734160989522934,0.07734375,490,11.52632
147456,2.5396986,-0.003805376,0.005972757,72,147456,794.60756778,1215.51,300.1784234046936,0.8752988204360008,0.06269531,483,18.311943
149504,2.5484042,-0.0048891385,0.002904151,73,149504,797.8320135499999,1219.92,304.4148619174957,0.9026912152767181,0.031933594,501,6.9689813
151552,2.5456202,-0.004511308,0.0044145333,74,151552,798.1111225000001,1219.92,308.4996335506439,0.7926334887742996,0.045458984,474,11.810165
153600,2.544468,-0.0021588667,0.0034706579,75,153600,806.5060065900002,1229.71,312.8177192211151,0.7844274640083313,0.039794922,487,18.643295
155648,2.5453126,-0.0024800464,0.004327909,76,155648,807.4929731800001,1229.71,317.02219581604004,0.7973652780056,0.05053711,498,12.627529
157696,2.5510268,-0.00409061,0.0043684295,77,157696,769.27683994,1176.52,321.1343569755554,0.8128868192434311,0.047509767,485,19.989513
159744,2.5645003,-0.0032721173,0.00467167,78,159744,756.47503903,1158.7,325.3505554199219,0.8399082720279694,0.05683594,493,15.252203
161792,2.5698028,-0.0033942268,0.0055640126,79,161792,757.4510448399998,1158.7,329.50317001342773,0.7340903878211975,0.06914063,468,15.628471
163840,2.5749846,0.00059169374,0.003831915,80,163840,756.6408787199999,1158.7,333.8716552257538,0.795141726732254,0.043554686,488,10.558204
165888,2.585644,-0.002070732,0.004921176,81,165888,762.39051573,1167.12,338.06821179389954,0.8693134933710098,0.059570312,438,6.5732346
167936,2.5906808,-0.0032331669,0.002953177,82,167936,757.4450885699999,1161.2,342.7365605831146,0.7537108957767487,0.031054687,490,24.24869
169984,2.5837731,-0.0031528678,0.005510104,83,169984,768.3531480099998,1177.98,346.9143979549408,0.7033478617668152,0.06225586,465,9.954763
172032,2.5770998,-0.0032345552,0.0052061593,84,172032,782.1807569499998,1195.9,351.3161551952362,0.7978503257036209,0.053808592,478,14.635002
