total_timesteps,n_updates,fps,explained_variance,clipfrac,value_loss,serial_timesteps,policy_loss,ep_len_mean,time_elapsed,approxkl,ep_reward_mean,policy_entropy
2048,1,560,-0.11053621768951416,0.010302735,4.5509367,2048,-0.0008973187,753.5,2.1457672119140625e-06,0.001912491,147.3382975,1.4247292
4096,2,631,-0.40661585330963135,0.017236328,5.232505,4096,-0.0016193306,610.75,3.652738571166992,0.0022520607,114.957912,1.4275241
6144,3,606,-0.2144986391067505,0.01928711,4.204871,6144,-0.001386887,608.1,6.896727800369263,0.0021343709,119.5235445,1.4260709
8192,4,601,-0.019406437873840332,0.07280274,4.391659,8192,-0.005637456,588.1538461538462,10.275460481643677,0.005738156,116.87950300000001,1.4225678
10240,5,603,0.21224582195281982,0.066259764,4.1303263,10240,-0.005354193,504.75,13.681999444961548,0.004946167,100.65842015,1.4154586
12288,6,576,0.3076893091201782,0.021435548,2.7490895,12288,-0.002452882,381.59375,17.075989246368408,0.0023630105,75.557605,1.4098777
14336,7,590,0.4449964165687561,0.043408204,3.2894588,14336,-0.004994716,348.2926829268293,20.628020524978638,0.0034790472,69.41793102439026,1.4134083
16384,8,590,0.7109735310077667,0.029101562,2.6051986,16384,-0.0038650422,330.2857142857143,24.095885753631592,0.0030372515,65.81468651020408,1.4147053
18432,9,621,0.6957046389579773,0.04423828,2.5350413,18432,-0.005360242,321.7719298245614,27.562328338623047,0.0036310772,64.31601508771931,1.4170706
20480,10,626,0.7008956670761108,0.05678711,3.001881,20480,-0.0027548205,330.1864406779661,30.85764479637146,0.004559685,66.21375508474577,1.4192356
22528,11,628,0.8255948424339294,0.076855466,2.239323,22528,-0.006730344,339.0,34.12658476829529,0.006282171,67.92681070967743,1.4264889
24576,12,640,0.7141250371932983,0.04848633,2.1989558,24576,-0.0017981244,366.14285714285717,37.38506269454956,0.004425659,73.0826262857143,1.4404929
26624,13,646,0.08012032508850098,0.08139648,2.2836137,26624,-0.005721849,392.4375,40.584702491760254,0.0064163483,77.95031035937501,1.450521
28672,14,635,0.7000999748706818,0.039501954,2.007027,28672,-0.002988869,421.030303030303,43.75465106964111,0.0035033035,84.05140472727274,1.4682252
30720,15,614,0.3592771887779236,0.018554688,1.8608478,30720,-0.000540088,445.32835820895525,46.97631597518921,0.0020913896,89.03749931343285,1.4718153
32768,16,612,0.33582621812820435,0.017529298,1.9748828,32768,-0.0013037387,468.9117647058824,50.31011343002319,0.0021181628,94.21062088235296,1.4650574
34816,17,611,0.5449156761169434,0.05332031,1.6204805,34816,-0.002402605,491.81159420289856,53.65536069869995,0.0046387436,99.20032095652176,1.4593501
36864,18,619,0.06093013286590576,0.0484375,1.4601481,36864,-0.00086481386,514.0571428571428,57.007638692855835,0.0042273593,103.96059618571431,1.4540533
38912,19,618,0.18431484699249268,0.028466797,1.4051929,38912,-0.00020568646,535.6760563380282,60.315831899642944,0.0029765721,108.51316811267608,1.462438
40960,20,634,0.20227175951004028,0.03828125,1.4640722,40960,-0.0022766083,556.6944444444445,63.62565088272095,0.0036662365,113.12076569444444,1.4698104
