serial_timesteps,total_timesteps,time_elapsed,fps,value_loss,policy_entropy,policy_loss,clipfrac,n_updates,ep_reward_mean,explained_variance,approxkl,ep_len_mean
2048,2048,1.6689300537109375e-06,414,17.499268,2.7304606,-0.0041911355,0.062109374,1,206.51473333333334,0.7161307334899902,0.0053997627,447.3333333333333
4096,4096,4.938941717147827,453,14.205194,2.7353034,-0.0018922538,0.036083985,2,452.73539425,0.6884317100048065,0.0033474881,847.75
6144,6144,9.455668210983276,463,11.01793,2.73738,-0.0037571224,0.06455078,3,667.5954778,0.777780145406723,0.00511849,1088.0
8192,8192,13.8701913356781,437,9.976306,2.7436264,-0.0018154368,0.049560547,4,791.0160643333334,0.8541867733001709,0.0044808593,1248.1666666666667
10240,10240,18.548622846603394,499,11.120183,2.7399774,-0.0005581813,0.05444336,5,858.7596560000001,0.8103240728378296,0.0046298937,1362.5714285714287
12288,12288,22.649064540863037,446,10.649123,2.7345982,-0.0046844324,0.06577148,6,908.426342125,0.6792899668216705,0.005310254,1448.375
14336,14336,27.238019227981567,457,9.634517,2.7308712,8.867339e-05,0.08325195,7,951.6859841111111,0.7716586291790009,0.0072570057,1515.111111111111
16384,16384,31.716586351394653,479,5.9528074,2.7338614,-0.006537949,0.059521485,8,894.2080196,0.8229535222053528,0.005062481,1439.9
18432,18432,35.98685574531555,476,12.80163,2.736859,-0.003934294,0.061181642,9,934.3345410909089,0.4902065396308899,0.0053752237,1495.2727272727273
20480,20480,40.28102445602417,385,27.799433,2.7488475,-0.002786976,0.04873047,10,736.8844212352942,0.824701726436615,0.005030725,1191.4117647058824
22528,22528,45.58924388885498,425,14.400511,2.7537825,-0.001428078,0.046240233,11,692.6699789,0.8661645352840424,0.0042506624,1122.95
24576,24576,50.407376527786255,409,18.330278,2.748489,-0.006704148,0.060302734,12,649.8727540434784,0.8191936612129211,0.0049668113,1065.608695652174
26624,26624,55.40881299972534,427,2.8600793,2.7605374,-0.0057695396,0.06728516,13,623.29019125,0.8859922885894775,0.00617626,1024.5
28672,28672,60.19740152359009,334,24.285908,2.7764354,-0.0032393984,0.0340332,14,594.1223132068966,0.7783491015434265,0.0030634976,979.6206896551724
30720,30720,66.32175970077515,388,7.9649377,2.7942169,-0.0035205218,0.021044921,15,572.9184286774193,0.9001255705952644,0.0020930136,946.6451612903226
32768,32768,71.59036111831665,361,16.282166,2.7914662,-0.0024650958,0.035107423,16,562.0258340588235,0.8593638390302658,0.0034464481,935.2941176470588
34816,34816,77.25060796737671,361,23.808153,2.7880769,-0.0012099472,0.05126953,17,531.209089923077,0.8717853724956512,0.0045601977,889.3589743589744
36864,36864,82.92179012298584,371,6.913774,2.7854953,-0.0056824605,0.034423828,18,538.27240025,0.8980476185679436,0.0034509816,899.9
38912,38912,88.43442392349243,451,9.072229,2.7881212,-0.0046571465,0.06542969,19,556.2656355853659,0.8390523791313171,0.005674483,927.9268292682926
40960,40960,92.97113084793091,440,11.779524,2.7938652,-0.004542924,0.04423828,20,567.8141806744186,0.8247256129980087,0.0039729364,943.0
43008,43008,97.6192672252655,340,15.519023,2.788274,-0.0019519683,0.057617188,21,573.8588522888889,0.7435502707958221,0.00499897,947.3777777777777
45056,45056,103.62916398048401,439,15.613841,2.7910264,-0.0028318248,0.06645508,22,584.4572543695652,0.4699931740760803,0.0054722675,971.3260869565217
47104,47104,108.29016733169556,404,10.602043,2.7983599,-0.0026003688,0.04609375,23,600.8713821702128,0.8020342886447906,0.0040237075,994.2553191489362
49152,49152,113.35115814208984,400,19.386381,2.8063319,-0.002265384,0.033496093,24,592.9966640600001,0.8452784419059753,0.0032143667,982.1
51200,51200,118.4660975933075,435,17.09323,2.805901,-0.0037106618,0.049853515,25,592.5064843076923,0.7480957210063934,0.0046265293,981.3076923076923
53248,53248,123.18004083633423,460,12.572887,2.8058252,-0.0016603917,0.061572265,26,599.9671016981132,0.33304399251937866,0.0051551587,1001.4528301886793
55296,55296,127.62822222709656,389,9.0836735,2.7924337,-0.005831131,0.045166016,27,595.3299572592592,0.8597743511199951,0.004325599,995.8148148148148
57344,57344,132.8931655883789,453,10.03139,2.7807279,-0.0036146096,0.043798827,28,607.6538734545454,0.8528003990650177,0.0038761948,1014.9636363636364
59392,59392,137.40981221199036,443,15.733409,2.77162,-0.001447028,0.043701172,29,620.9650663035715,0.5343576073646545,0.0038236093,1033.4285714285713
61440,61440,142.02979612350464,435,9.183618,2.7659676,-0.0021612816,0.05908203,30,617.25719,0.9007349610328674,0.004832362,1029.6896551724137
63488,63488,146.7296953201294,398,16.772911,2.7702003,-0.0022158045,0.05444336,31,622.6423953333334,0.7822902202606201,0.004923874,1037.5166666666667
65536,65536,151.86807513237,323,23.258417,2.7828252,-0.0034357323,0.060546875,32,613.6251065625,0.8125880360603333,0.005166921,1018.765625
67584,67584,158.19912576675415,413,25.919003,2.7974713,0.0015304501,0.020361328,33,600.4171103880598,0.615134060382843,0.0024012956,1002.1940298507462
69632,69632,163.1553716659546,382,9.282728,2.7829037,-0.0027871204,0.049609374,34,611.910118897059,0.8680052161216736,0.004274542,1017.5882352941177
