total_timesteps,policy_entropy,policy_loss,approxkl,n_updates,serial_timesteps,time_elapsed,explained_variance,clipfrac,fps,value_loss,ep_len_mean,ep_reward_mean
2048,4.2098475,-0.0058218474,0.004984768,1,2048,5.9604644775390625e-06,0.9700618591159582,0.06289063,373,1.5462711,,
4096,4.2135725,-0.008845351,0.0039673215,2,4096,5.478051662445068,0.3032476305961609,0.04633789,435,32.84803,430.6666666666667,209.11780122222223
6144,4.2207265,-0.0045314524,0.002595889,3,6144,10.185092210769653,0.8565344959497452,0.03022461,377,23.42573,435.5,210.30384099999995
8192,4.2334776,-0.006496907,0.0058607375,4,8192,15.613800525665283,0.9453890062868595,0.07138672,375,3.1688476,410.73333333333335,197.48983959999995
10240,4.2403755,-0.0030278768,0.0016312586,5,10240,21.063947677612305,0.07728219032287598,0.016357422,417,40.87261,425.0833333333333,206.099412875
12288,4.237003,-0.0046898066,0.002833082,6,12288,25.96617603302002,0.9464482851326466,0.031103516,410,8.751763,413.9230769230769,198.06252703846155
14336,4.2332516,-0.0035042502,0.0034116004,7,14336,30.951525688171387,0.8812264129519463,0.035302736,427,36.631676,453.7741935483871,229.09994748387095
16384,4.2391157,-0.0041634273,0.0042404863,8,16384,35.74724078178406,0.9306894838809967,0.04638672,426,18.06897,491.6060606060606,260.42002524242423
18432,4.2339478,-0.0028564006,0.0019147426,9,18432,40.55380296707153,0.9591589495539665,0.016992187,441,9.71431,485.7142857142857,254.38324894285714
20480,4.2352867,-0.0046414826,0.0028222955,10,20480,45.197487592697144,0.8973020315170288,0.027148437,369,36.66709,505.25,274.7152436
22528,4.234583,-0.005067215,0.0029766075,11,22528,50.73643136024475,0.848897323012352,0.030712891,341,17.387615,534.0,293.90084026190476
24576,4.239904,-0.007649316,0.0072268285,12,24576,56.732866048812866,0.7905871868133545,0.095458984,404,11.644973,569.2325581395348,316.394858744186
26624,4.2544794,-0.004553289,0.0019860077,13,26624,61.79408669471741,0.7379216253757477,0.01875,431,24.737658,558.6382978723404,307.27783731914894
28672,4.250405,-0.003213287,0.0035208638,14,28672,66.53973460197449,0.9685661979019642,0.036328126,328,8.811131,549.265306122449,300.2113265714285
30720,4.236973,-0.004619897,0.0032089273,15,30720,72.76581501960754,0.7933382838964462,0.03793945,408,44.8928,556.4,311.1326900727273
32768,4.225255,-0.0008649668,0.0024145327,16,32768,77.77626085281372,0.8625480532646179,0.024560547,352,9.191509,559.2321428571429,312.0874012857143
34816,4.220735,-0.0025935355,0.0033729258,17,34816,83.58164381980896,0.9031159728765488,0.04121094,322,25.156233,580.3620689655172,327.7791817931034
36864,4.2326207,-0.002823742,0.0020663873,18,36864,89.92408442497253,0.9213930368423462,0.020703126,348,26.983768,598.0819672131148,345.6356333442623
38912,4.234834,-0.0012552744,0.00082641176,19,38912,95.79331660270691,0.8867958411574364,0.0069335937,334,22.596142,606.9375,351.26261429687503
40960,4.2369256,-0.0023571493,0.0014906541,20,40960,101.90914463996887,0.8682329207658768,0.0147949215,400,14.541448,586.9852941176471,336.4865749264706
43008,4.22552,-0.003457152,0.0050817425,21,43008,107.02941846847534,0.9023565128445625,0.055371094,303,15.331863,608.1739130434783,353.0246351159421
45056,4.200312,-0.0023311083,0.0025902006,22,45056,113.78834295272827,0.9289324507117271,0.028076172,332,26.343197,620.3472222222222,366.30820594444447
47104,4.1959333,-0.0028984188,0.0043539116,23,47104,119.94694972038269,0.8841308876872063,0.053271484,376,19.903095,639.917808219178,384.8182476438356
49152,4.191517,-0.0029585802,0.00245335,24,49152,125.39116549491882,0.8636482506990433,0.02631836,426,16.458004,626.8961038961039,373.65850964935066
51200,4.1933594,-0.005044022,0.0038223218,25,51200,130.19254350662231,0.8936774581670761,0.042333983,416,24.586164,644.6708860759494,386.8472089620253
53248,4.1969595,-0.007982067,0.0040458837,26,53248,135.11965703964233,0.9844216648489237,0.038378906,387,3.1314595,643.25,385.59491428750005
55296,4.1966805,-0.000831186,0.000933409,27,55296,140.4026801586151,0.7967695444822311,0.00703125,341,22.742088,660.604938271605,402.64436162962966
57344,4.1978493,-0.0019625826,0.0019254669,28,57344,146.39345502853394,0.8690853416919708,0.02109375,404,20.35979,677.5365853658536,414.1196061829268
59392,4.198759,-0.0034363654,0.0029812418,29,59392,151.45760464668274,0.9345147162675858,0.028564453,417,14.201289,693.0952380952381,425.9757029523809
61440,4.194724,-0.004945529,0.0033985768,30,61440,156.36193251609802,0.9145106449723244,0.036132812,422,27.939228,699.2988505747127,433.2339399080459
63488,4.1988916,-0.0032845947,0.002828582,31,63488,161.21251106262207,0.9585072919726372,0.03173828,415,8.154307,702.625,435.85708323863633
65536,4.204299,-0.0026897804,0.0025672321,32,65536,166.14546871185303,0.8860030993819237,0.027929688,422,26.630743,718.6111111111111,451.1409136111111
67584,4.212926,-0.0029037208,0.0027614583,33,67584,170.99378991127014,0.9164259806275368,0.030761719,428,24.977404,730.8152173913044,462.999186347826
