serial_timesteps,value_loss,ep_reward_mean,policy_loss,approxkl,ep_len_mean,total_timesteps,n_updates,time_elapsed,clipfrac,policy_entropy,fps,explained_variance
43008,2.1461973,53.838610100000004,-0.0016043273,0.0031860184,247.4,43008,21,68.2051169872284,0.029296875,1.4414047,576,0.8711791932582855
45056,1.5269916,56.668980729999994,-0.0026074895,0.0032870218,260.01,45056,22,71.76084351539612,0.03125,1.4306173,609,0.9075461998581886
47104,1.2523291,60.37430871000001,-0.004804916,0.0039029296,276.12,47104,23,75.11919522285461,0.042871095,1.4222481,605,0.9155020266771317
49152,1.2751231,62.978379399999994,-0.0026954429,0.0039433506,287.32,49152,24,78.50244569778442,0.043115236,1.4148487,611,0.919220507144928
51200,2.0433455,67.85198137999998,-0.0012124314,0.002889409,307.74,51200,25,81.85147404670715,0.025341798,1.4111464,604,0.8636098802089691
53248,1.3978164,71.10216832999998,-0.00137355,0.0025490688,322.68,53248,26,85.2534716129303,0.023388673,1.4059365,621,0.8957225382328033
55296,1.8034112,74.65279675,-7.117705e-05,0.0025733006,339.81,55296,27,88.54749321937561,0.021826172,1.3999045,616,0.8594630658626556
57344,1.7030914,78.58772117999999,-0.0027513765,0.004278361,358.72,57344,28,91.87124419212341,0.04575195,1.4052187,607,0.888822078704834
59392,1.4359124,82.92495887,-0.0011310788,0.0036680154,377.03,59392,29,95.24341130256653,0.0362793,1.4134448,571,0.7218252420425415
61440,1.4221643,87.51970322999999,-0.00078452623,0.0029218907,396.19,61440,30,98.82825040817261,0.02602539,1.4051749,597,0.7068958878517151
63488,1.0959655,91.7782033,-0.0020699385,0.0036806173,414.46,63488,31,102.25852179527283,0.038085938,1.3890767,618,0.7232370972633362
65536,0.88514453,95.72682949,-0.002349269,0.0029389863,432.55,65536,32,105.57216596603394,0.031103516,1.3832552,618,0.7975653856992722
67584,0.93957025,99.95999838000002,-0.0003907901,0.0038872764,451.41,67584,33,108.88194465637207,0.043847658,1.3751587,614,0.5413057208061218
69632,0.9286091,103.88378032000003,-0.0018998601,0.0037753624,469.78,69632,34,112.21504092216492,0.03959961,1.3691022,622,0.7184604108333588
71680,0.85882604,108.27829770000002,-0.0018129708,0.0028189723,488.68,71680,35,115.50767016410828,0.027490234,1.3727546,636,0.42501139640808105
73728,0.8700636,112.45016256999999,-0.000786448,0.0033272617,507.64,73728,36,118.72425150871277,0.034082033,1.3677856,633,0.7537451237440109
75776,0.76722586,116.89441070999999,-0.0044499165,0.006987666,526.66,75776,37,121.9588348865509,0.08935547,1.3599999,610,0.610593318939209
77824,0.8850961,121.44001334999999,-0.0008729701,0.003682257,545.66,77824,38,125.31255841255188,0.03769531,1.3503453,605,0.5125351548194885
79872,0.91257936,125.92680336,-0.004085958,0.0049492144,564.48,79872,39,128.69534516334534,0.058691405,1.3460665,612,0.2666376829147339
