explained_variance,n_updates,fps,policy_loss,serial_timesteps,total_timesteps,policy_entropy,value_loss,approxkl,time_elapsed,ep_reward_mean,clipfrac,ep_len_mean
0.6396993100643158,1,353,-0.0067797205,2048,2048,2.2224717,8.38354,0.0046159406,2.1457672119140625e-06,674.711839,0.054589845,1611.0
0.8146317303180695,2,383,-0.0016087182,4096,4096,2.23086,11.655721,0.0027920858,5.787370681762695,909.821862,0.027148437,1830.0
0.8256611973047256,3,456,-0.003916469,6144,6144,2.24016,10.489068,0.00401881,11.133004188537598,940.943812,0.043945312,1903.0
0.849940687417984,4,359,-0.0074072503,8192,8192,2.256085,6.143483,0.0055005495,15.620756149291992,842.28744,0.06948242,1939.5
0.8764582350850105,5,438,-0.001152897,10240,10240,2.260117,6.039735,0.003666448,21.311983585357666,723.5718164,0.036474608,1658.2
0.35657668113708496,6,443,-0.0072435527,12288,12288,2.2652872,11.839828,0.006125749,25.98198914527893,810.2375364999999,0.072460935,1723.3333333333333
0.9211785644292831,7,350,-0.006206709,14336,14336,2.2689083,5.5935893,0.0044359323,30.601935863494873,771.7865737142856,0.051171876,1769.857142857143
0.7280676364898682,8,407,-0.0039574644,16384,16384,2.2624888,7.791836,0.0047049457,36.44886231422424,802.31051025,0.05913086,1804.75
0.6914353370666504,9,420,-0.0027077463,18432,18432,2.2615817,16.999096,0.0026633034,41.47207593917847,837.9257008000001,0.025634766,1789.2
0.6593286693096161,10,417,-0.0045239544,20480,20480,2.261414,8.918899,0.0045138514,46.34054183959961,883.315879909091,0.05366211,1812.8181818181818
0.8166419416666031,11,418,-0.0029769265,22528,22528,2.2598205,10.24158,0.0042407615,51.247270822525024,921.1516995833334,0.046191406,1832.5
0.904869481921196,12,241,-0.0007058495,24576,24576,2.25726,9.960954,0.003046856,56.13779616355896,935.8712224615385,0.028125,1849.1538461538462
-0.03834211826324463,13,117,-0.0021781796,26624,26624,2.253626,8.971314,0.010909563,64.60504293441772,891.4595913571429,0.13745117,1863.4285714285713
0.9553449675440788,14,133,-0.0030043842,28672,28672,2.245173,7.5592933,0.0057937303,81.9620635509491,852.0001366666668,0.072021484,1875.8
0.792986199259758,15,392,-0.0013187872,30720,30720,2.2344518,16.595306,0.0032932572,97.25063562393188,831.6293660588236,0.031054687,1780.7058823529412
0.8153061270713806,16,307,-0.00408334,32768,32768,2.237954,19.44749,0.00334549,102.4688048362732,805.7368468421054,0.036328126,1707.0
0.3224948048591614,17,134,-0.0045808866,34816,34816,2.2564054,7.100358,0.010085149,109.13379240036011,780.5957256,0.13408203,1724.1
0.8252900540828705,18,408,-0.0035568431,36864,36864,2.2634504,5.4684987,0.00432576,124.34447884559631,767.5629653333334,0.049560547,1739.5714285714287
0.8748834133148193,19,464,-0.0017782191,38912,38912,2.259048,8.5037155,0.0038325763,129.35531330108643,792.5978928181819,0.044677734,1753.6363636363637
0.9036539196968079,20,315,-0.0023864298,40960,40960,2.2543654,10.341583,0.002642423,133.76461553573608,808.5416462173913,0.02470703,1766.4782608695652
0.9526495859026909,21,135,-0.0017972529,43008,43008,2.243639,5.8341117,0.0056912904,140.2565131187439,787.9678304583334,0.07353516,1778.25
0.844449371099472,22,446,-0.0006848894,45056,45056,2.2401402,11.411148,0.0063021677,155.39241862297058,808.60449456,0.06547852,1789.08
0.8930987566709518,23,318,-0.007174236,47104,47104,2.246817,11.4586935,0.006360681,159.9799120426178,823.1828349615384,0.07382812,1799.076923076923
0.43480581045150757,24,131,-0.0045672976,49152,49152,2.2525136,6.300643,0.007386881,166.40580344200134,805.0905309259259,0.099169925,1808.3333333333333
0.8062721490859985,25,456,-0.0016777338,51200,51200,2.2466846,9.726059,0.0030127442,181.9707305431366,815.3922722142858,0.031982422,1816.9285714285713
0.7383663058280945,26,398,-0.0038109361,53248,53248,2.2511466,8.404215,0.005376675,186.47093081474304,830.7247138620689,0.06616211,1824.9310344827586
0.7892676442861557,27,436,-0.0018875556,55296,55296,2.2503982,6.689042,0.0043663094,191.6077001094818,810.3323469333334,0.05029297,1781.4333333333334
0.7660534828901291,28,455,-0.0053876243,57344,57344,2.2572448,9.244464,0.004646768,196.30524396896362,825.4429371612904,0.051513672,1790.0645161290322
0.9252735823392868,29,459,-0.005906355,59392,59392,2.267774,5.492624,0.0057453127,200.8047788143158,818.7933325,0.07143555,1798.15625
0.8469275683164597,30,124,-0.0006633229,61440,61440,2.2772667,11.386349,0.0035373166,205.25961756706238,828.848374,0.03803711,1805.7575757575758
0.9656658694148064,31,279,-0.00698956,63488,63488,2.2837973,3.493543,0.0038239877,221.73089265823364,813.2807176176472,0.045800783,1812.9117647058824
0.8891008794307709,32,130,-0.0024609054,65536,65536,2.285425,10.626626,0.005968661,229.07102847099304,819.5768174,0.07211914,1819.6571428571428
0.8359962701797485,33,151,-0.0031411313,67584,67584,2.2924097,8.968859,0.0058124354,244.78643155097961,793.3859555675676,0.06484375,1800.972972972973
0.015739619731903076,34,130,-0.0045547048,69632,69632,2.3004386,6.395733,0.0077794828,258.273277759552,781.2639856578949,0.101708986,1807.5
0.8123376816511154,35,210,-0.005332023,71680,71680,2.3027303,11.968098,0.005321675,274.0025336742401,759.01250155,0.068115234,1787.7
0.8897092863917351,36,425,-0.0027887463,73728,73728,2.2996988,9.655969,0.0031472072,283.73723912239075,762.7726002926829,0.032958984,1794.0731707317073
0.8582255393266678,37,398,-0.0021979006,75776,75776,2.2996707,10.696329,0.0021252166,288.54935026168823,741.5173623023255,0.016552735,1744.6279069767443
