policy_loss,serial_timesteps,policy_entropy,fps,time_elapsed,value_loss,clipfrac,ep_reward_mean,ep_len_mean,explained_variance,approxkl,n_updates,total_timesteps
-0.0064693093,2048,3.4034991,514,1.6689300537109375e-06,12.654801,0.06020508,114.337727,277.5,0.8370389193296432,0.0048293667,1,2048
-0.0067645954,4096,3.4156353,537,3.980015754699707,6.781198,0.06137695,438.6068923333333,868.0,0.906200684607029,0.0049584685,2,4096
-0.00465197,6144,3.4337478,517,7.790872812271118,18.235659,0.03618164,585.3935678,1038.0,0.8164003044366837,0.0031748745,3,6144
-0.0023667663,8192,3.4484112,500,11.745468139648438,14.960607,0.04663086,607.3506712857143,1040.142857142857,0.7405996918678284,0.0039302097,4,8192
-0.0053763743,10240,3.4654706,489,15.834899663925171,30.242413,0.060253907,439.8429605384615,734.3076923076923,0.7413142323493958,0.0049005393,5,10240
-0.0025025127,12288,3.472031,541,20.016423225402832,7.607393,0.040722657,485.1924944285714,828.2142857142857,0.8151621967554092,0.0037205399,6,12288
-0.003636175,14336,3.4639874,528,23.79708981513977,11.811046,0.054394532,546.7028243999999,909.6,0.6837553679943085,0.004776263,7,14336
-0.0015449878,16384,3.4671493,517,27.673222303390503,21.564732,0.029101562,519.630981263158,861.421052631579,0.8363560736179352,0.0026975188,8,16384
-0.0027030385,18432,3.474331,494,31.63181757926941,11.483564,0.034765624,450.35323218181816,749.4545454545455,0.8422133922576904,0.0032340686,9,18432
-0.0034012042,20480,3.4795349,554,35.775575160980225,18.195206,0.038427733,453.6948555199999,744.6,0.7536192238330841,0.0033057723,10,20480
-0.004365366,22528,3.4750104,548,39.47200632095337,13.957687,0.042236328,463.64871703703693,766.7407407407408,0.7549896985292435,0.003946953,11,22528
-0.0017276095,24576,3.4752421,535,43.20953607559204,16.159782,0.02709961,480.244070275862,786.3448275862069,0.7887565046548843,0.0026948794,12,24576
-0.002308324,26624,3.4795883,527,47.031182050704956,39.71078,0.03564453,403.8000975263158,663.5526315789474,0.7522291094064713,0.0032743283,13,26624
-0.0021666125,28672,3.4771545,543,50.91659498214722,12.111139,0.030712891,418.11843257499993,682.6,0.824212372303009,0.002844352,14,28672
-0.002506452,30720,3.4741962,544,54.68750977516174,34.77923,0.021337891,383.84597808510637,629.9148936170212,0.7228931188583374,0.0021996005,15,30720
-0.005888518,32768,3.4816673,516,58.449453353881836,9.686894,0.046777345,400.7874763541666,659.4791666666666,0.6961753070354462,0.0039703012,16,32768
-0.0020059785,34816,3.485889,536,62.412806272506714,62.70799,0.027490234,327.48219115625,540.828125,0.7707971334457397,0.0027688898,17,34816
-0.0026498926,36864,3.4753432,534,66.23066210746765,8.532953,0.065625,343.8057703538461,564.0307692307692,0.8079301565885544,0.005881588,18,36864
-0.0025931236,38912,3.4723115,530,70.06553363800049,23.925068,0.031201173,337.8857512,555.3285714285714,0.8098246455192566,0.0030320708,19,38912
-0.0012198391,40960,3.479829,515,73.9229884147644,5.0857553,0.04067383,328.84976531944443,541.0694444444445,0.8873426169157028,0.003905027,20,40960
-0.0034301206,43008,3.4804318,488,77.8994472026825,16.054096,0.039990235,341.7572598378378,558.6756756756756,0.7357224822044373,0.0037218784,21,43008
-0.0045166244,45056,3.4835625,526,82.09241843223572,20.756144,0.036572266,344.5582777692308,562.9230769230769,0.7035136222839355,0.0032657317,22,45056
-0.0042096674,47104,3.48832,528,85.98015451431274,12.172789,0.049121093,349.500375225,574.95,0.8690244853496552,0.004450205,23,47104
-0.002142287,49152,3.4891293,522,89.85760736465454,12.80728,0.03330078,351.06121458536586,586.439024390244,0.8618787080049515,0.0029389835,24,49152
-0.0036766536,51200,3.4979126,527,93.77986550331116,20.298182,0.023730468,352.84061679069765,589.1279069767442,0.794844776391983,0.0024639112,25,51200
-0.0041983086,53248,3.5012124,529,97.67127799987793,13.719381,0.060595702,361.5948439886364,601.0227272727273,0.7772855460643768,0.004883813,26,53248
-0.005380043,55296,3.502309,513,101.54037737846375,18.823778,0.054052733,365.7533935494505,606.2527472527472,0.7601260542869568,0.004695148,27,55296
-0.007528187,57344,3.5073314,534,105.53243446350098,14.193436,0.057275392,363.0889392340425,606.031914893617,0.8149702548980713,0.0050063636,28,57344
-0.0028421776,59392,3.5146708,526,109.36736917495728,9.629694,0.040478516,364.4405402187501,608.2604166666666,0.8731705099344254,0.0037310242,29,59392
-0.005310305,61440,3.5244637,518,113.26107668876648,10.645515,0.039208986,372.5354065876289,623.1134020618557,0.8031547367572784,0.0036534157,30,61440
-0.0028041962,63488,3.517653,518,117.20854163169861,11.095741,0.03491211,382.1915177653062,637.6632653061224,0.8207837492227554,0.003388937,31,63488
-0.005551464,65536,3.5237014,525,121.1575083732605,17.725214,0.052099608,388.2229088600001,647.23,0.7018856406211853,0.00454978,32,65536
-0.0019463826,67584,3.5284317,538,125.05314302444458,16.107946,0.05517578,401.19057255,664.09,0.7397072315216064,0.0049024965,33,67584
-0.0046904394,69632,3.524554,493,128.85696268081665,17.82424,0.045947265,389.3700501899999,641.94,0.7841188013553619,0.003987997,34,69632
-0.00363044,71680,3.5296001,495,133.00728940963745,12.360108,0.029345702,389.96482877999995,641.94,0.6408386528491974,0.002805958,35,71680
-0.0020586322,73728,3.5314884,462,137.13948726654053,8.576267,0.052734375,403.92655273,662.01,0.7239654958248138,0.004342623,36,73728
-0.0056081456,75776,3.5388188,494,141.5668671131134,9.433381,0.08774414,404.18145973,662.01,0.7114466726779938,0.008463194,37,75776
